policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,18.26026153564453,18.952070236206055,18.726482391357422,18.284587860107422,18.137969970703125,2.0,1.0,-0.25,-0.5,0.03788602365914051,0.03829798835050746,-0.0046627007753375915,0.010045713039434523,0.020391756068436226
transit_frequency,low,16.910015106201172,17.80138397216797,17.463287353515625,16.987234115600586,16.78354263305664,2.0,1.0,-0.25,-0.5,0.05271248194449685,0.04907792014138046,-0.01598263107398601,0.011218719115586528,0.024256622531869457
transit_frequency,middle,18.389562606811523,19.072830200195312,18.793779373168945,18.37701988220215,18.216163635253906,2.0,1.0,-0.25,-0.5,0.03715518460078582,0.03297115665554484,0.002387198492505349,0.014143808795108848,0.021664337135986214
transit_price,high,18.26026153564453,18.242795944213867,18.25286865234375,18.379425048828125,18.521970748901367,0.5,-0.25,-0.5,-1.0,-0.002391202255861702,0.0014170164815125452,-0.009788757374941004,-0.0071660861139905,-0.004482257315820165
transit_price,low,16.910015106201172,16.840726852416992,16.88578987121582,17.131078720092773,17.245031356811523,0.5,-0.25,-0.5,-1.0,-0.0102436711837664,0.0050140891014128774,-0.019609410089515444,-0.009905853084882676,-0.008686211314187911
transit_price,middle,18.389562606811523,18.32565689086914,18.306825637817383,18.488069534301758,18.60584259033203,0.5,-0.25,-0.5,-1.0,-0.00868776997429932,0.015746942853998858,-0.00803501390406225,-0.00588050918188765,-0.0017140875515625903
transit_speed,high,18.26026153564453,18.63576889038086,,,,-0.25,,,,-0.07197463952044936,,,,-0.07197463952044936
transit_speed,low,16.910015106201172,17.410554885864258,,,,-0.25,,,,-0.1036006897580094,,,,-0.1036006897580094
transit_speed,middle,18.389562606811523,18.760814666748047,,,,-0.25,,,,-0.07065867946726179,,,,-0.07065867946726179
tnc_price,high,18.431459426879883,18.455196380615234,18.37921905517578,18.3671817779541,18.495023727416992,0.5,0.25,-0.25,-0.5,0.003219624825359091,-0.012754371057867753,0.012205857714779944,-0.005173027734668212,-0.0006254790630992324
