policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,commute,18.800262451171875,19.976707458496094,19.617565155029297,18.858606338500977,18.627561569213867,2.0,1.0,-0.25,-0.5,0.06257598852035651,0.06520941178189332,-0.010861742285897091,0.013779133329112958,0.032675697836366424
transit_frequency,non_commute,16.613954544067383,16.98858642578125,16.7685489654541,16.627450942993164,16.509336471557617,2.0,1.0,-0.25,-0.5,0.022549229969311746,0.013957642141430138,-0.002843236155181228,0.009445500067332635,0.010777284005723323
transit_price,commute,18.800262451171875,18.70882225036621,18.790990829467773,18.986351013183594,19.257844924926758,0.5,-0.25,-0.5,-1.0,-0.012159431423251765,0.0017260756890302709,-0.014847284379276404,-0.012169576753072398,-0.009362554216642574
transit_price,non_commute,16.613954544067383,16.597930908203125,16.550336837768555,16.741567611694336,16.715932846069336,0.5,-0.25,-0.5,-1.0,-0.0024111712569327426,0.013402105528536268,-0.01152161581595157,-0.0030690556463081053,-0.0008999342976640373
transit_speed,commute,18.800262451171875,19.47858428955078,,,,-0.25,,,,-0.12628155806294028,,,,-0.12628155806294028
transit_speed,non_commute,16.613954544067383,16.79117202758789,,,,-0.25,,,,-0.037333748005424106,,,,-0.037333748005424106
tnc_price,commute,19.11936378479004,19.141263961791992,19.099380493164062,19.03146743774414,19.152189254760742,0.5,0.25,-0.25,-0.5,0.002863612153686801,-0.004703337063361457,0.016090347886229206,-0.0025753056173986044,0.0029188293397889864
tnc_price,non_commute,16.714237213134766,16.743938446044922,16.647640228271484,16.58611297607422,16.78006935119629,0.5,0.25,-0.25,-0.5,0.0044425049931107186,-0.01793000949210266,0.026829512109563303,-0.005908029533928438,0.0018584945191607305
share_tnc_price,commute,19.11936378479004,19.201942443847656,19.038814544677734,19.17828369140625,19.169458389282227,0.5,0.25,-0.25,-0.5,0.010797778104325584,-0.018958349481991044,-0.010785906658713929,-0.0039301468178589705,-0.00571915621355959
share_tnc_price,non_commute,16.714237213134766,16.826942443847656,16.49441909790039,16.768394470214844,16.691505432128906,0.5,0.25,-0.25,-0.5,0.01685766889564122,-0.05918197198836861,-0.011340655117142995,0.0020400375484675437,-0.01290623016535071
operating_cost,commute,19.11936378479004,19.11200714111328,19.08207130432129,19.187191009521484,19.35639762878418,1.0,0.5,-0.25,-0.5,-0.0005771617528358419,-0.0048762711051109076,-0.01241648462952094,-0.018596370150876007,-0.009116571909585924
operating_cost,non_commute,16.714237213134766,16.10984230041504,16.238121032714844,16.95924949645996,17.313129425048828,1.0,0.5,-0.25,-0.5,-0.054240726484792945,-0.07121416525753405,-0.051306139831752806,-0.05374689292821222,-0.057626981125573004
cordon_pricing,commute,19.11936378479004,19.213367462158203,19.13399314880371,19.143699645996094,19.124263763427734,0.25,0.1,-0.25,-0.5,0.02212503265894561,0.008034175397915067,-0.004454934545936817,-0.0003844253417255583,0.006329962042299575
cordon_pricing,non_commute,16.714237213134766,16.72011375427246,16.662988662719727,16.748559951782227,16.660320281982422,0.25,0.1,-0.25,-0.5,0.0015821502819668432,-0.032194695605674506,-0.007187260999963807,0.004838712990441474,-0.008240273333307499
park_ride,commute,19.11936378479004,19.1890811920166,19.09450340270996,19.15065574645996,19.17018699645996,0.5,0.25,-0.25,-0.5,0.00911607310934981,-0.005851226045991587,-0.005728321667892278,-0.003987309324880783,-0.0016126959823537096
park_ride,non_commute,16.714237213134766,16.76694679260254,16.639881134033203,16.699769973754883,16.7430362701416,0.5,0.25,-0.25,-0.5,0.007883934336284093,-0.020019002464203794,0.003029473447331399,-0.002584538256780622,-0.002922533234342231
telecommute_frequency,commute,19.11936378479004,19.083574295043945,19.176239013671875,19.18474769592285,18.994245529174805,-1.0,-0.5,1.0,2.0,0.0009359487624416851,-0.0044621172693321,0.0051296616248937,-0.006544059573507788,-0.0012351416138761256
telecommute_frequency,non_commute,16.714237213134766,16.680530548095703,16.75667953491211,16.71329116821289,16.64603042602539,-1.0,-0.5,1.0,2.0,0.0010083219655568354,-0.0038089373660431525,-8.490171371378086e-05,-0.004080759788174793,-0.0017415692255937226
av_rates,commute,18.800262451171875,18.738561630249023,18.852615356445312,18.95023536682129,19.22698974609375,0.05,0.1,0.25,0.5,-0.06727921124524548,0.029239246356202675,0.03589727123092867,0.05674485875266033,0.01365054127363655
av_rates,non_commute,16.613954544067383,16.556575775146484,16.739994049072266,16.8505859375,17.072677612304688,0.05,0.1,0.25,0.5,-0.07079980625674996,0.07965682095981319,0.06409318549791165,0.06902677309917005,0.03549424332503623
av_vot,commute,18.800262451171875,18.84738540649414,18.869274139404297,18.95023536682129,19.099946975708008,-0.1,-0.2,-0.4,-0.6,-0.023811799262068552,-0.016518524560625636,-0.015954342769301633,-0.018597184278688762,-0.018720462717671145
av_vot,non_commute,16.613954544067383,16.743349075317383,16.622371673583984,16.8505859375,16.87554168701172,-0.1,-0.2,-0.4,-0.6,-0.07398888949735094,-0.0022798354674823385,-0.028485860221294068,-0.01836919676722626,-0.0307809454883384
tod,commute,18.95757484436035,18.758333206176758,18.833904266357422,18.78941535949707,,0.1,0.25,0.5,,-0.11035363004514748,-0.029355949037898232,-0.022175764337455106,,-0.05396178114016694
tod,non_commute,16.434057235717773,16.366626739501953,16.397613525390625,16.358766555786133,,0.1,0.25,0.5,,-0.04308249631304073,-0.00997907541150217,-0.011453452858860014,,-0.02150500819446764
