policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1.8892320686544908,1.8893113174592415,1.889348856366755,1.8894680771563583,1.889366583073081,2.0,1.0,-0.25,-0.5,4.1947628385941016e-05,9.272633643220285e-05,-0.0004372304335935606,-0.0001068008696407663,-0.00010233933460404576
transit_price,none,1.8892320686544908,1.8894513931974632,1.8893008899849324,1.8893843097794067,1.8894479173726935,0.5,-0.25,-0.5,-1.0,0.0002902297534157494,-0.00012749871259476464,-0.00012087540284899667,-5.712604655194742e-05,-3.817602144989829e-06
transit_speed,none,1.8892320686544908,1.8893975179135318,,,,-0.25,,,,-0.0003065120565391988,,,,-0.0003065120565391988
tnc_price,none,1.8892779495414518,1.8893113174592415,1.8894204583570124,1.8892887245982382,1.8893339103202451,0.5,0.25,-0.25,-0.5,4.415432599269575e-05,0.0003394363810677037,-1.9961434876147877e-05,-4.443029053002867e-05,7.979974541355572e-05
share_tnc_price,none,1.8892779495414518,1.8895351605744148,1.889154905344602,1.8894281051715058,1.8894906700173617,0.5,0.25,-0.25,-0.5,0.00034035626285899845,-0.0002930743387749568,-0.0002781722537528175,-0.0001688902969213535,-9.994515664753234e-05
operating_cost,none,1.8892779495414518,1.8890228240033506,1.8892272024998131,1.8893259159232747,1.8894816328729604,1.0,0.5,-0.25,-0.5,-0.0002025579704905689,-6.715137078033839e-05,-8.886058106005734e-05,-0.000161715218947589,-0.0001300712853196384
cordon_pricing,none,1.8892779495414518,1.8894611255068188,1.8893766629649134,1.889363802413265,1.8893432950471234,0.25,0.1,-0.25,-0.5,0.00043629993371352427,0.0005486175004564275,-0.00015904756175177948,-5.1881333041015054e-05,0.00019349713484428932
park_ride,none,1.8892779495414518,1.8893797912072061,1.8893759677999593,1.8894044695630714,1.889336343397584,0.5,0.25,-0.25,-0.5,0.00013476268245660172,0.00023346599868556694,-0.00023438588047708375,-4.6362042292247274e-05,2.187018959320941e-05
telecommute_frequency,none,1.8892779495414518,1.8892859439384222,1.8894333189086605,1.889367973402989,1.889289767345669,-1.0,-0.5,1.0,2.0,-2.1157281204775558e-06,-0.00012335614824143804,7.147481520042298e-05,6.255196182358702e-06,-1.1935466244783477e-05
av_rates,none,1.8892320686544908,1.8892859439384222,1.8892338065668757,1.8893839621969297,1.8893624120833572,0.05,0.1,0.25,0.5,0.0005845990754224094,9.658993378791614e-06,0.0003617982948284082,0.00017248202461350726,0.00028213459706077915
av_vot,none,1.8892320686544908,1.8894611255068188,1.8892967189952086,1.8893839621969297,1.8892557042629252,-0.1,-0.2,-0.4,-0.6,-0.0011518119627661472,-0.000153991951575283,-0.0001607992421459592,-1.4595812216115315e-05,-0.0003702997421758762
tod,none,1.8799008652651215,1.8800762306581338,1.8807764004040832,1.8811981816255823,,0.1,0.25,0.5,,0.0009794860253812265,0.002095806325814853,0.0017252457090044526,,0.0016001793534001774
