policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,-472.3500757773491,-444.94697687146373,-453.2106652908905,-469.7776460490573,-470.13244970811957,2.0,1.0,-0.25,-0.5,-0.0580143844812302,-0.06077931856460722,0.01906108310494986,0.00704231728632615,-0.023172575663640352
transit_price,none,-472.3500757773491,-478.83419122345384,-469.9676477988476,-471.3660182116942,-463.1579004231886,0.5,-0.25,-0.5,-1.0,0.03431837835229434,0.017653216019987872,0.003124983829108363,0.009730257096955963,0.016206708824586635
transit_speed,none,-472.3500757773491,-459.345517741109,,,,-0.25,,,,0.09636063475153361,,,,0.09636063475153361
tnc_price,none,-463.5581206039968,-473.57428060877527,-467.76355529242227,-448.50637626334213,-438.93055021125696,0.5,0.25,-0.25,-0.5,0.05401782192774318,0.040824343823934184,0.1136450918466278,0.0796908822155391,0.07204453495346107
share_tnc_price,none,-463.5581206039968,-473.86788212374785,-459.8476037703271,-461.5481440116172,-456.5006827146626,0.5,0.25,-0.25,-0.5,0.05560123456751109,-0.03601991855898823,0.015175913786522666,0.02283674120562923,0.01439849275016869
operating_cost,none,-463.5581206039968,-621.4223051268273,-550.8694661771859,-413.09914236205236,-356.01482574008685,1.0,0.5,-0.25,-0.5,0.5108232738447338,0.4708759360068271,0.3809801101460479,0.3479929163697496,0.4276680590918396
cordon_pricing,none,-463.5581206039968,-466.3271598996942,-463.39082014468875,-465.1313656885924,-463.4364756919718,0.25,0.1,-0.25,-0.5,0.026880505974963165,-0.003789502857691196,-0.0118784625947439,0.00039362349601346214,0.002901541004635383
park_ride,none,-463.5581206039968,-465.1923781791254,-462.9054736014432,-463.0682143642192,-466.08683101892046,0.5,0.25,-0.25,-0.5,0.008813660588014582,-0.006335584214692658,0.0036989360406143867,-0.00818250280556676,-0.0005013725979076122
telecommute_frequency,none,-463.5581206039968,-469.27608311462876,-470.5853884443426,-459.2949574412919,-443.9741498681045,-1.0,-0.5,1.0,2.0,-0.006167470977729517,-0.022739115748386163,-0.013794914725526297,-0.0422470664743726,-0.021237141981503643
av_rates,none,-472.3500757773491,-463.7538493670147,-460.215912775021,-442.57953800122823,-414.0897496534897,0.05,0.1,0.25,0.5,-0.37307634834575665,-0.2697336531909467,-0.2836189234691516,-0.30835353433563056,-0.30869561483537133
av_vot,none,-472.3500757773491,-468.1488918857336,-458.2899194519703,-442.57953800122823,-424.93200927098746,-0.1,-0.2,-0.4,-0.6,0.08449505783325129,0.13394875264935546,0.12605285487517848,0.11711880748555624,0.11540386821083537
tod,none,-457.4780665666505,-450.93292057746436,-453.7822213141614,-452.0644916354849,,0.1,0.25,0.5,,-0.15022366733825065,-0.036354319150244785,-0.029583794977288413,,-0.07205392715526128
