policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,Alameda,-455.1902953705765,-431.4263565947966,-436.6395489339072,-455.7640239942595,-459.8915344266588,2.0,1.0,-0.25,-0.5,-0.05220660241983721,-0.06113074012781916,-0.004411452096657387,-0.015492111004656639,-0.0333102264122426
transit_frequency,Contra Costa,-578.2395374564866,-574.1996903750074,-597.7769374956381,-587.1413081226892,-598.2608586180739,2.0,1.0,-0.25,-0.5,-0.006986459451128635,0.05068159155570118,-0.05388112592362082,-0.05193692197957134,-0.015530728949654904
transit_frequency,Marin,-468.746901020244,-459.7002327396458,-474.4825776268764,-464.6000467643217,-449.9294565555777,2.0,1.0,-0.25,-0.5,-0.019299686591864096,0.018354286484289828,0.0309633831480014,0.06021622038580787,0.02255855085655875
transit_frequency,Napa,-610.2978414685888,-629.0197319563041,-563.7618991709553,-607.5824934211589,-613.0872321507069,2.0,1.0,-0.25,-0.5,0.030676645427196503,-0.11437679884050994,0.01557226245981036,-0.006855809965030657,-0.018745925229633434
transit_frequency,San Francisco,-378.03457435511166,-302.55778882353195,-321.4363232227895,-362.7525210380785,-379.8043677663391,2.0,1.0,-0.25,-0.5,-0.1996557739734134,-0.2245756934886431,0.14148755229825127,-0.0070223474172166345,-0.07244156564525546
transit_frequency,San Mateo,-452.5893714059332,-421.3028738560419,-429.88240892534424,-446.54046356094636,-443.5756034631417,2.0,1.0,-0.25,-0.5,-0.0691277779076036,-0.07525683516401932,0.04677789359411472,0.029873993443961022,-0.016933181508386796
transit_frequency,Santa Clara,-395.82788400762865,-372.8526167845631,-374.7453205243866,-394.0161545055102,-381.48825818098163,2.0,1.0,-0.25,-0.5,-0.05804357942257232,-0.07989291937870041,0.016019723505108996,0.05434038280020714,-0.01689409812398915
transit_frequency,Solano,-626.1185840981492,-578.7852588310817,-587.5085379969598,-599.3882079552269,-582.7435923236403,2.0,1.0,-0.25,-0.5,-0.07559802003840155,-0.09249856276859109,0.14942267946731685,0.10391400177887755,0.021310024609800443
transit_frequency,Sonoma,-592.0763382555415,-560.6857853890973,-570.1629912826556,-598.351041159537,-609.4782575121553,2.0,1.0,-0.25,-0.5,-0.05301774591927022,-0.0555165243660557,-0.037092278047608174,-0.044087015809192276,-0.04742839103553159
transit_price,Alameda,-455.1902953705765,-449.1416288261767,-457.41281397156155,-455.5908450899222,-449.4375260142586,0.5,-0.25,-0.5,-1.0,-0.03322053768454958,-0.01708914970850761,-0.001319941539020264,0.006319081727823861,-0.011327636801063398
transit_price,Contra Costa,-578.2395374564866,-599.0609245754509,-594.6794187281566,-597.1701918657404,-583.9170193653432,0.5,-0.25,-0.5,-1.0,0.09002059600832446,-0.09950821540835075,-0.04910764445265481,-0.004909282002602544,-0.01587613646382091
transit_price,Marin,-468.746901020244,-493.43099512912204,-470.2727533633599,-473.0021501537991,-482.1806610572343,0.5,-0.25,-0.5,-1.0,0.1316493722686607,-0.011393106150210386,-0.013616887250753273,-0.014329438773623138,0.023077485023518474
transit_price,Napa,-610.2978414685888,-671.1723548851152,-640.0108869965311,-615.9862039794602,-611.4829521471897,0.5,-0.25,-0.5,-1.0,0.24936395510608889,-0.17040148642431419,-0.013980950261555769,-0.0009709281256420343,0.016002647573644224
transit_price,San Francisco,-378.03457435511166,-392.46166222121764,-366.90419756517286,-356.9891004551131,-343.4541939157602,0.5,-0.25,-0.5,-1.0,0.09540852110363929,0.1030496187583933,0.08350614729843159,0.04573706055635529,0.08192533692920487
transit_price,San Mateo,-452.5893714059332,-449.33771258812055,-441.2166661744428,-449.6322826653799,-438.20454025005057,0.5,-0.25,-0.5,-1.0,-0.017961418358719006,0.08794830551713345,0.009800568442539959,0.01589170235173365,0.023919789488172014
transit_price,Santa Clara,-395.82788400762865,-406.347306437491,-392.1000445078572,-386.7278150300748,-389.25000889102245,0.5,-0.25,-0.5,-1.0,0.06643937210383366,0.03296240304523035,0.034484946659461946,0.008309009271918077,0.03554893277011101
transit_price,Solano,-626.1185840981492,-611.2884106298745,-614.074423520188,-634.56653473216,-605.5015589332894,0.5,-0.25,-0.5,-1.0,-0.05921471525092897,0.06732680213219161,-0.020238859335677706,0.016464153667117398,0.0010843453031755823
transit_price,Sonoma,-592.0763382555415,-583.7154563377271,-561.3965873197375,-595.7287153879438,-571.7915897978927,0.5,-0.25,-0.5,-1.0,-0.03530322602676689,0.1813602762638507,-0.009253140760100642,0.01713017996751448,0.038483522361124414
transit_speed,Alameda,-455.1902953705765,-445.3729354218393,,,,-0.25,,,,0.07548658257884577,,,,0.07548658257884577
transit_speed,Contra Costa,-578.2395374564866,-586.7388114407395,,,,-0.25,,,,-0.05144487192234515,,,,-0.05144487192234515
transit_speed,Marin,-468.746901020244,-472.0065386013741,,,,-0.25,,,,-0.024338788179982918,,,,-0.024338788179982918
transit_speed,Napa,-610.2978414685888,-627.0082677771062,,,,-0.25,,,,-0.0958327034863371,,,,-0.0958327034863371
transit_speed,San Francisco,-378.03457435511166,-332.0931808067631,,,,-0.25,,,,0.4253443688147299,,,,0.4253443688147299
transit_speed,San Mateo,-452.5893714059332,-438.75635672689776,,,,-0.25,,,,0.10697456554541906,,,,0.10697456554541906
transit_speed,Santa Clara,-395.82788400762865,-385.7762495296703,,,,-0.25,,,,0.08887883369069632,,,,0.08887883369069632
transit_speed,Solano,-626.1185840981492,-605.145706044622,,,,-0.25,,,,0.11723829167772876,,,,0.11723829167772876
transit_speed,Sonoma,-592.0763382555415,-553.1487397368727,,,,-0.25,,,,0.2301166015462967,,,,0.2301166015462967
tnc_price,Alameda,-447.43924751887323,-464.50864066902017,-455.29573146798657,-436.5550572181452,-419.94315009492436,0.5,0.25,-0.25,-0.5,0.09537268603949933,0.07901447619326007,0.08513930385809826,0.09217820377767283,0.08792616746713262
tnc_price,Contra Costa,-595.1360024678849,-588.1093094465302,-594.1622213578386,-549.329086941704,-570.7337351939225,0.5,0.25,-0.25,-0.5,-0.029517173352883175,-0.007363048071427514,0.2693908680987328,0.06150426248648733,0.07350372729022736
tnc_price,Marin,-491.3192092998311,-490.7703701148725,-477.8137691748187,-454.0003192207194,-455.229972123302,0.5,0.25,-0.25,-0.5,-0.00279268128830501,-0.12369652847313706,0.2658477682218636,0.11018062135599921,0.06238479495410519
tnc_price,Napa,-600.258377750549,-651.0664647359033,-606.4668993073979,-606.077617136113,-611.5999222417742,0.5,0.25,-0.25,-0.5,0.2116092372411199,0.04654386850962078,-0.03393095141095692,-0.02834165647231912,0.04897012446686616
tnc_price,San Francisco,-341.62145777345637,-361.48681006146876,-356.378722251674,-336.78232986105024,-312.4339350923411,0.5,0.25,-0.25,-0.5,0.1453754721489564,0.19438969257023986,0.049578114336872314,0.1281573010870593,0.12937514503578196
tnc_price,San Mateo,-438.69915973869286,-446.7304138813607,-447.715026186393,-430.5288614372665,-411.89815204113,0.5,0.25,-0.25,-0.5,0.04576743517956339,0.09248114137901864,0.06518372196569755,0.09163799531845457,0.07376757346068354
tnc_price,Santa Clara,-384.3360347879108,-391.6479892555348,-387.56731011771996,-377.867042288161,-356.008333550241,0.5,0.25,-0.25,-0.5,0.04756224895525962,0.03783340011863667,0.05891061909305162,0.11055833440117835,0.06371615064203157
tnc_price,Solano,-613.3275734492295,-620.3207005362067,-609.742388929974,-597.7819872201694,-596.5054088970896,0.5,0.25,-0.25,-0.5,0.02850486179697298,-0.02630458996962881,0.08871205886883893,0.041141549671903865,0.03301347009202174
tnc_price,Sonoma,-571.9629609008197,-589.5877347305546,-570.8989117122029,-558.9947984791794,-569.1915520539488,0.5,0.25,-0.25,-0.5,0.07703634253683422,-0.00837155843314441,0.07935578276652,0.00726815118195584,0.03882217951304141
share_tnc_price,Alameda,-447.43924751887323,-461.3560570199892,-457.5895434097137,-443.88296494066793,-442.6516461892995,0.5,0.25,-0.25,-0.5,0.07775809553077329,0.10208387342430358,0.027818277213586484,0.016050004630087045,0.0559275626996876
share_tnc_price,Contra Costa,-595.1360024678849,-611.6454169470061,-543.6818226508981,-582.2036376376184,-575.2273965669683,0.5,0.25,-0.25,-0.5,0.06935143568302327,-0.3890603294310618,0.0760553499002527,0.05017829324312517,-0.04836881265116516
share_tnc_price,Marin,-491.3192092998311,-481.08617473790247,-459.32292378159036,-470.9951773728377,-482.078509538262,0.5,0.25,-0.25,-0.5,-0.05206917604804989,-0.29305445850014844,0.14478186563445916,0.028211902526886157,-0.043032466596713254
share_tnc_price,Napa,-600.258377750549,-640.1935378856277,-619.7730607986175,-579.3118932188609,-588.6312391148183,0.5,0.25,-0.25,-0.5,0.1663248761505609,0.14629712299126296,0.12213523139093163,0.029055334502709695,0.1159531412588663
share_tnc_price,San Francisco,-341.62145777345637,-351.8023179532517,-348.64778673732155,-342.49683033576355,-340.1466229473973,0.5,0.25,-0.25,-0.5,0.0745039571441869,0.09255414031504061,-0.008968417815566343,0.006475741463979168,0.04114135527691008
share_tnc_price,San Mateo,-438.69915973869286,-449.5942111882598,-442.08221261072595,-441.22033463116213,-434.2901152191926,0.5,0.25,-0.25,-0.5,0.06208725961577233,0.03470199927717432,-0.0201142672096718,0.015075403342896088,0.022937598756542735
share_tnc_price,Santa Clara,-384.3360347879108,-391.803369826186,-389.5982078392071,-383.0042560218902,-378.5150953524074,0.5,0.25,-0.25,-0.5,0.04857295675121831,0.06161217421078036,0.012127995449722095,0.022718164218125947,0.03625782265746168
share_tnc_price,Solano,-613.3275734492295,-603.8713633896452,-619.8285367045363,-614.5859685212149,-602.3716863157949,0.5,0.25,-0.25,-0.5,-0.03854469645969305,0.04769773268852118,-0.0071811262734849945,0.026794540815654633,0.007191612692749441
share_tnc_price,Sonoma,-571.9629609008197,-585.6064998896123,-568.0231105026836,-598.4910119385157,-574.364695257325,0.5,0.25,-0.25,-0.5,0.059634713790315264,-0.030997333749880063,-0.1623325022405362,-0.006298662292894219,-0.0349984461232488
operating_cost,Alameda,-447.43924751887323,-603.9114999431775,-534.3016430314985,-398.4824191701327,-353.8146589148303,1.0,0.5,-0.25,-0.5,0.5245592109721139,0.48533066776267453,0.38295455789976107,0.3138680473043229,0.4266781209847181
operating_cost,Contra Costa,-595.1360024678849,-761.5681669687957,-678.7755061308732,-540.5178507714381,-458.8514522501385,1.0,0.5,-0.25,-0.5,0.41948100218460227,0.3513461768241022,0.3212098245524632,0.3434959815553268,0.3588832462791236
operating_cost,Marin,-491.3192092998311,-617.397009525191,-567.8572508524111,-418.6522509214838,-363.6757397235627,1.0,0.5,-0.25,-0.5,0.384916153812806,0.38945170524501194,0.5176560360557898,0.3896961501612276,0.42043001131870883
operating_cost,Napa,-600.258377750549,-842.6901822984586,-739.6758810328364,-548.6410778254159,-493.2275607546199,1.0,0.5,-0.25,-0.5,0.6058186279458917,0.5806562159313394,0.30097130908024333,0.2674618654978811,0.4387270046138389
operating_cost,San Francisco,-341.62145777345637,-432.1706216292713,-393.67656173573266,-320.0911515656587,-288.01746327064166,1.0,0.5,-0.25,-0.5,0.3975855224931242,0.38094141027871453,0.220583543605342,0.2353657533056447,0.3086190574207064
operating_cost,San Mateo,-438.69915973869286,-590.9039635932327,-535.3915012505968,-385.706341192113,-326.3133260968033,1.0,0.5,-0.25,-0.5,0.5204186074069502,0.5510173621571207,0.42278372500988143,0.3842695996118313,0.4696223235464459
operating_cost,Santa Clara,-384.3360347879108,-546.9814882584058,-473.1586150027686,-338.6938348282988,-276.55913040439907,1.0,0.5,-0.25,-0.5,0.634778314087494,0.57776640865768,0.4156459072249002,0.42063543863244524,0.5122065171506298
operating_cost,Solano,-613.3275734492295,-821.2656640004056,-714.5574572823942,-528.8760464068678,-453.0821772192045,1.0,0.5,-0.25,-0.5,0.508549019038329,0.41262568411798484,0.4819290008208536,0.39190818210447675,0.44875297152041105
operating_cost,Sonoma,-571.9629609008197,-764.897951671854,-684.948451445177,-505.3652755966464,-458.574444223761,1.0,0.5,-0.25,-0.5,0.5059811665090231,0.4938496820074223,0.4075297082130907,0.2973667643578077,0.426181830271836
