policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,hispanic,-524.7393006488293,-491.76950102519504,-501.18385140152833,-524.9431157114461,-523.1684123939478,2.0,1.0,-0.25,-0.5,-0.06283081824225434,-0.06733471997859258,-0.0013594421425590086,0.0044904819963142995,-0.03175862459177291
transit_frequency,non_hispanic,-457.38992206650005,-431.57060571000846,-439.509355219731,-454.0221699648741,-454.97925008140345,2.0,1.0,-0.25,-0.5,-0.056449246279496545,-0.05863891829749174,0.025770424285773974,0.007905744755607347,-0.02035299888390174
transit_price,hispanic,-524.7393006488293,-533.1812133326573,-522.8325656350194,-524.9647672258984,-514.1415289102182,0.5,-0.25,-0.5,-1.0,0.04021955604139871,0.012717882079888054,-0.0006445102647838485,0.010098130372079184,0.015597764557145524
transit_price,non_hispanic,-457.38992206650005,-463.307651941133,-454.86946168197767,-456.0534607841599,-448.5909761533439,0.5,-0.25,-0.5,-1.0,0.032345104194121954,0.019286851153108353,0.004382894827356543,0.009618648650370654,0.016408374706239376
transit_speed,hispanic,-524.7393006488293,-511.28876922383444,,,,-0.25,,,,0.08971475917521787,,,,0.08971475917521787
transit_speed,non_hispanic,-457.38992206650005,-444.50881015266253,,,,-0.25,,,,0.09856774170873944,,,,0.09856774170873944
tnc_price,hispanic,-516.2416474550324,-523.2161418888121,-517.6799632344752,-499.23028941629326,-497.09282919043244,0.5,0.25,-0.25,-0.5,0.03377533790697884,0.012537580103039403,0.11533310694537363,0.05563911307524233,0.05432128450765855
tnc_price,non_hispanic,-448.51260100257815,-459.3925181989777,-453.5040005344007,-434.01493960202237,-422.3157896179295,0.5,0.25,-0.25,-0.5,0.06064443435969957,0.05007952472905475,0.11313353245487445,0.08761229225028416,0.07786744594847823
share_tnc_price,hispanic,-516.2416474550324,-526.3260518972935,-514.6674119116052,-511.67702155141,-512.6585259692259,0.5,0.25,-0.25,-0.5,0.04883567846557524,-0.013722372033224295,0.03094711699731667,0.010411175183571209,0.019117899653309706
share_tnc_price,non_hispanic,-448.51260100257815,-458.88460092224494,-444.18750769664194,-447.2325417035702,-440.4601772845977,0.5,0.25,-0.25,-0.5,0.0578133139207343,-0.04339436580646033,0.00998903383430727,0.02693042636922749,0.012834602079452181
operating_cost,hispanic,-516.2416474550324,-661.1245564375082,-592.5502612864943,-467.7769883681855,-413.8110940267136,1.0,0.5,-0.25,-0.5,0.42097410107278077,0.3695392177657886,0.3285792760816331,0.2976238567731242,0.35417911292333165
operating_cost,non_hispanic,-448.51260100257815,-610.0831128837984,-538.9618558646067,-397.4786358140362,-339.50122891548654,1.0,0.5,-0.25,-0.5,0.5403544232204021,0.5041622836228221,0.39824717914418234,0.36457628562747446,0.45183504290372023
cordon_pricing,hispanic,-516.2416474550324,-519.4678697705132,-514.177785200484,-516.8762412544978,-515.0583983522735,0.25,0.1,-0.25,-0.5,0.028122489712393617,-0.04197753858021758,-0.004302400453505606,0.0034380675462513666,-0.00367984544376955
cordon_pricing,non_hispanic,-448.51260100257815,-451.15113417652145,-448.8856837582669,-450.35391667800434,-448.6921445163176,0.25,0.1,-0.25,-0.5,0.026472833218517344,0.008734133502547814,-0.014368837909092713,-0.0006004631085217982,0.005059416425862662
park_ride,hispanic,-516.2416474550324,-514.1888317721131,-515.0809469716336,-514.4898400768432,-515.8791135043363,0.5,0.25,-0.25,-0.5,-0.009941156883793156,-0.010117649749964763,0.011876852349841482,0.0010533844542087722,-0.0017821424574269162
park_ride,non_hispanic,-448.51260100257815,-451.1979700358868,-448.00144340653526,-448.37956610110894,-451.8665188015863,0.5,0.25,-0.25,-0.5,0.014968191681269949,-0.005128527441706832,0.0010381473209480907,-0.011216801238731033,-8.474741955495635e-05
telecommute_frequency,hispanic,-516.2416474550324,-516.4232842581205,-522.2394414429165,-512.5193620871962,-498.3670961210748,-1.0,-0.5,1.0,2.0,-0.00017592226816987022,-0.01742728628381285,-0.010815531988322635,-0.03462438844691351,-0.015760782246804717
telecommute_frequency,non_hispanic,-448.51260100257815,-455.8120571122167,-455.8313750211139,-444.0881720826105,-428.438091663101,-1.0,-0.5,1.0,2.0,-0.008137403601729098,-0.024476817380969185,-0.014797005402114205,-0.04475796063389037,-0.023042296754675715
av_rates,hispanic,-524.7393006488293,-515.9790610418554,-512.0334376664507,-498.51373025081756,-475.71866005349005,0.05,0.1,0.25,0.5,-0.34223644335560743,-0.25424350939602636,-0.2249022831816283,-0.2335475946566523,-0.2637324576474786
av_rates,non_hispanic,-457.38992206650005,-448.83094288981096,-445.4128643953119,-426.6032728596669,-396.4838552703006,0.05,0.1,0.25,0.5,-0.3836093990208558,-0.2749494457142669,-0.3028923785745477,-0.3329001354086694,-0.32358783967958493
av_vot,hispanic,-524.7393006488293,-521.3065631457878,-512.9996258224562,-498.51373025081756,-484.56886891875166,-0.1,-0.2,-0.4,-0.6,0.062147062814946745,0.10067577681594912,0.09995657030294591,0.0893119757318392,0.08802284641642023
av_vot,non_hispanic,-457.38992206650005,-452.96349944572415,-442.66068156625,-426.6032728596669,-407.8962747087397,-0.1,-0.2,-0.4,-0.6,0.09193690737081255,0.1449126424816341,0.1346188349220212,0.1262436835581578,0.12442801708315641
tod,hispanic,-512.8071855660066,-502.145185952727,-506.92707928213946,-504.78011813485784,,0.1,0.25,0.5,,-0.21831011555712004,-0.05159927361040534,-0.03913297072021815,,-0.10301411996258118
tod,non_hispanic,-441.67253835719214,-436.3112970147775,-438.6054185987456,-437.009304772886,,0.1,0.25,0.5,,-0.12745423182690185,-0.031249483982740467,-0.026395310888305823,,-0.061699675565982715
