policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,-450.84306621267956,-428.9651317914884,-438.49886829959456,-448.64024585448027,-448.85615300456084,2.0,1.0,-0.25,-0.5,-0.04852671818816556,-0.04107038181860967,0.017101008824344455,0.006610659086352999,-0.016471358024019445
transit_frequency,low,-493.83193962368597,-460.63175038793247,-469.31226520219735,-490.9646392731297,-491.10704223460453,2.0,1.0,-0.25,-0.5,-0.06722973257066567,-0.07447779027873319,0.020321794565564766,0.008276795718674679,-0.028277233141289854
transit_frequency,middle,-457.5471311117485,-434.37890287263815,-440.9024284664018,-455.11964503174454,-455.9187870813494,2.0,1.0,-0.25,-0.5,-0.0506357196095103,-0.0545671741124355,0.018569018801122827,0.005338282942926154,-0.020323897994474205
transit_price,high,-450.84306621267956,-457.42285300815905,-450.16143586063254,-450.49427391826094,-445.557743089333,0.5,-0.25,-0.5,-1.0,0.03648601524890438,0.005291655591391942,0.0011604668693764308,0.00586159965566968,0.012199934341335608
transit_price,low,-493.83193962368597,-501.0426964542794,-490.98625502695864,-492.9066730681868,-480.5868738448644,0.5,-0.25,-0.5,-1.0,0.036504103177734115,0.020168594392933337,0.002810469963336837,0.013410499317758506,0.0182234167129407
transit_price,middle,-457.5471311117485,-462.81763011882134,-454.4170201655831,-455.9196157356333,-451.273853204058,0.5,-0.25,-0.5,-1.0,0.02879757433002894,0.023943737304088386,0.005335566323497742,0.006855335200602941,0.016233053289554503
transit_speed,high,-450.84306621267956,-441.2433255435529,,,,-0.25,,,,0.07452502846321563,,,,0.07452502846321563
transit_speed,low,-493.83193962368597,-476.9436988651568,,,,-0.25,,,,0.11969424800650746,,,,0.11969424800650746
transit_speed,middle,-457.5471311117485,-447.6351561239159,,,,-0.25,,,,0.07582150580448327,,,,0.07582150580448327
tnc_price,high,-444.2456204529881,-454.9012320759245,-448.95250004328506,-431.1626066047724,-417.707569820941,0.5,0.25,-0.25,-0.5,0.05996464079978503,0.0476784850118247,0.10307484499692576,0.08960600648686234,0.07508099432384946
tnc_price,low,-482.50038709744155,-491.61008113393643,-486.63262527658634,-467.7794455867005,-459.11479331747694,0.5,0.25,-0.25,-0.5,0.04720044936800838,0.038538978005827396,0.10678394601409635,0.07270126948698752,0.06630616071872991
tnc_price,middle,-450.8057153808428,-461.6746347726851,-454.69387108562796,-433.53556573546683,-425.89517319779424,0.5,0.25,-0.25,-0.5,0.060274964474775206,0.03881206487533517,0.13408331282524066,0.08288673368527727,0.07901426896515708
