policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,asian,-420.6874304015563,-390.6257925562033,-399.50430643269164,-413.8316113931754,-416.5053636048378,2.0,1.0,-0.25,-0.5,-0.07145836949931794,-0.0755303906346032,0.05703846798186718,0.014911546534893905,-0.018759686404290016
transit_frequency,black,-489.7386295680353,-453.7342671928891,-463.49654050652146,-481.3116586952894,-484.4484987007356,2.0,1.0,-0.25,-0.5,-0.07351750546389035,-0.08037579887661767,0.060224773529965636,0.016202920949790423,-0.01936640246518799
transit_frequency,other,-553.1342243647364,-513.5038851655258,-526.0100637409761,-549.2195979750998,-548.9953627900833,2.0,1.0,-0.25,-0.5,-0.07164687602674591,-0.07355581908237152,0.024770104181247643,0.011223844210887013,-0.027302186679245694
transit_frequency,white,-473.18710387765566,-450.60519311756474,-457.4685230061422,-473.2828020512622,-472.52966831166924,2.0,1.0,-0.25,-0.5,-0.04772300549832731,-0.0498277977443915,-0.0007078460187909252,0.0020840664103022877,-0.02404364571280186
transit_price,asian,-420.6874304015563,-426.66837655458613,-418.6660260212383,-412.8547410724871,-410.9543148928277,0.5,-0.25,-0.5,-1.0,0.035542695840239946,0.016817510626262133,0.027928179319237134,0.011568108297695168,0.022964123520858595
transit_price,black,-489.7386295680353,-495.4311584661212,-485.36020136886117,-488.849668441658,-477.5672260192482,0.5,-0.25,-0.5,-1.0,0.029059015127655408,0.031291178134398245,0.002722761916375771,0.01242642790862003,0.018874845771762364
transit_price,other,-553.1342243647364,-560.3213376494941,-549.855204612858,-550.2789112659451,-540.2596917803166,0.5,-0.25,-0.5,-1.0,0.03248358611787239,0.020748253545068762,0.007743092832676879,0.011637801475045118,0.018153183492665786
transit_price,white,-473.18710387765566,-479.7831980304493,-471.05236804639196,-475.4808214485497,-465.35962771290457,0.5,-0.25,-0.5,-1.0,0.03484929163717787,0.0157898965297133,-0.007271069579340428,0.00827101594761015,0.012909783633790223
transit_speed,asian,-420.6874304015563,-405.84378658725745,,,,-0.25,,,,0.12349490285568021,,,,0.12349490285568021
transit_speed,black,-489.7386295680353,-472.0163861213113,,,,-0.25,,,,0.12665501211992297,,,,0.12665501211992297
transit_speed,other,-553.1342243647364,-535.6795726803064,,,,-0.25,,,,0.11044567160107865,,,,0.11044567160107865
transit_speed,white,-473.18710387765566,-462.4524640460277,,,,-0.25,,,,0.07940038750593648,,,,0.07940038750593648
tnc_price,asian,-407.90145478813747,-419.16277452163297,-415.87821628209485,-397.4253378318289,-383.68033071817456,0.5,0.25,-0.25,-0.5,0.06901985517154263,0.08800024197376799,0.0898903617936943,0.08906976348935775,0.08399505560709067
tnc_price,black,-476.95811993888503,-489.14623773109395,-484.7844094724073,-463.01775866478624,-452.4834618753065,0.5,0.25,-0.25,-0.5,0.06388463306679137,0.07383940314374471,0.10229674770102998,0.07697109150814319,0.07924796885492731
tnc_price,other,-541.7398895356243,-549.6665027091701,-544.6427509923773,-527.0424184116794,-522.6541375516442,0.5,0.25,-0.25,-0.5,0.036579423661881605,0.024112820207102925,0.09495543881382323,0.05284570792915111,0.05212334765298972
tnc_price,white,-467.0525271072713,-476.8300482706038,-469.6342427729846,-449.89571717412593,-440.93203829176673,0.5,0.25,-0.25,-0.5,0.0523363037124025,0.02487454798213995,0.12856976738339554,0.08388935066024805,0.07241749243454651
share_tnc_price,asian,-407.90145478813747,-418.830695434696,-402.8495141238037,-409.05679555419596,-404.7068343344562,0.5,0.25,-0.25,-0.5,0.0669845652563017,-0.055733395217503534,-0.009913405882077675,0.01174776560434404,0.0032713824402661323
share_tnc_price,black,-476.95811993888503,-489.4970839184969,-475.88571596002436,-473.8387825583767,-468.49677360703697,0.5,0.25,-0.25,-0.5,0.065723611022801,-0.010117907009301597,0.02289022950941305,0.02661034369096882,0.026276569303470318
share_tnc_price,other,-541.7398895356243,-549.0467034020506,-538.5797055041672,-538.7324866717144,-538.523653577388,0.5,0.25,-0.25,-0.5,0.03371919812241275,-0.02625028803721119,0.019429822737823066,0.008905295752708708,0.008951007143933334
share_tnc_price,white,-467.0525271072713,-477.59368753474394,-463.51138659680646,-464.0661889137519,-457.6281999741199,0.5,0.25,-0.25,-0.5,0.05642384858058791,-0.03411850139381006,0.022379032487104766,0.03026745361444172,0.018737958322081083
operating_cost,asian,-407.90145478813747,-562.4206270806873,-496.80888059220393,-361.91194759054184,-307.89880685975396,1.0,0.5,-0.25,-0.5,0.5682224363705928,0.5449075062152248,0.3946131432043764,0.36774561632903907,0.4688721755298083
operating_cost,black,-476.95811993888503,-625.2374101221368,-558.0825458127161,-427.95534380886255,-370.62779628739696,1.0,0.5,-0.25,-0.5,0.4663280191212118,0.42521776274731415,0.35959072565334466,0.33440144702362773,0.39638448863637454
operating_cost,other,-541.7398895356243,-682.6055021967961,-620.0771141378336,-492.51070038109617,-440.8657559786726,1.0,0.5,-0.25,-0.5,0.39003666348601584,0.3615075524037903,0.3180533044899922,0.27930599769038705,0.33722587951754635
operating_cost,white,-467.0525271072713,-631.2484855847798,-556.4219377678099,-414.2962962018737,-354.66871498408796,1.0,0.5,-0.25,-0.5,0.5273366985972749,0.4783691633896914,0.3953448433573778,0.36093524475472344,0.4404964875247669
cordon_pricing,asian,-407.90145478813747,-413.2080718546295,-411.09031093549453,-410.4177601629946,-412.5654935466495,0.25,0.1,-0.25,-0.5,0.058543004735340354,0.08208597727272093,-0.021591167936810707,-0.017151343923011653,0.025471617537059732
cordon_pricing,black,-476.95811993888503,-477.8555651429482,-478.91411387093314,-478.6443538265238,-475.61206543032944,0.25,0.1,-0.25,-0.5,0.008467207600536875,0.04306025084369347,-0.012373871751028998,0.004233247487414882,0.010846708545154057
cordon_pricing,other,-541.7398895356243,-546.2797567604437,-539.3566847085075,-541.7137835740971,-539.2557128536703,0.25,0.1,-0.25,-0.5,0.03771072226045369,-0.04619126478978092,0.00016866187465658378,0.0068783286867156734,-0.0003583879919887428
