policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,Alameda,-447.43924751887323,-433.9532194190702,-440.7941647988287,-465.2609230486196,-459.4010248574037,2.0,1.0,-0.25,-0.5,-0.015070233751939888,-0.01485136307754098,-0.1593215224508855,-0.05346771614184753,-0.06067770885555347
transit_frequency,Contra Costa,-595.1360024678849,-574.5946226324853,-582.304679361364,-593.4859465386361,-612.6153174831943,2.0,1.0,-0.25,-0.5,-0.01725771903415302,-0.02156032075578085,0.011090278003054177,-0.058740573391046436,-0.02161708379448153
transit_frequency,Marin,-491.3192092998311,-453.63000899563747,-466.486559796177,-482.3769905907361,-474.5080230484331,2.0,1.0,-0.25,-0.5,-0.03835510559204852,-0.05054280197805128,0.07280170235426642,0.0684328474571767,0.01308416056033583
transit_frequency,Napa,-600.258377750549,-609.5523383513379,-617.4881188395121,-605.457475732411,-625.2835860524958,2.0,1.0,-0.25,-0.5,0.00774163339095546,0.028703874410767938,-0.034645733734499196,-0.08338145448541034,-0.020395420104546536
transit_frequency,San Francisco,-341.62145777345637,-304.25155958553455,-322.54076505173555,-364.35501710129233,-374.6743590633364,2.0,1.0,-0.25,-0.5,-0.05469489304255498,-0.05585332035663293,-0.2661842084042805,-0.1935060022593711,-0.14255960601570988
transit_frequency,San Mateo,-438.69915973869286,-434.9564977988911,-435.17763375560054,-453.5361649575835,-444.10246448951546,2.0,1.0,-0.25,-0.5,-0.004265636093343572,-0.008027200200679374,-0.135281820259042,-0.024633303396528028,-0.043051989987398245
transit_frequency,Santa Clara,-384.3360347879108,-374.12989377139525,-379.1106622687599,-385.4981172528914,-388.78154831622066,2.0,1.0,-0.25,-0.5,-0.01327762698877255,-0.013595843340670544,-0.01209444194450171,-0.023133472409179845,-0.015525346170781162
transit_frequency,Solano,-613.3275734492295,-619.2397726506259,-605.429710181174,-603.1695753705804,-630.276505343515,2.0,1.0,-0.25,-0.5,0.00481977287287727,-0.012877071910593507,0.06624843570311079,-0.05526877521246343,0.0007305903632327804
transit_frequency,Sonoma,-571.9629609008197,-578.6017161161805,-551.1148194674054,-575.5160566843072,-592.574610426008,2.0,1.0,-0.25,-0.5,0.005803483502589968,-0.036450159990393916,-0.024848432687959665,-0.07207337164884153,-0.031892120206151287
transit_price,Alameda,-455.1902953705765,-449.1416288261767,-457.41281397156155,-455.5908450899222,-449.4375260142586,0.5,-0.25,-0.5,-1.0,-0.026576430147639662,-0.019530456809722985,-0.0017599220520270187,0.012638163455647722,-0.008807161388435486
