policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,-444.2456204529881,-432.7727533435778,-438.22636770366194,-451.8260899144278,-456.0088574790001,2.0,1.0,-0.25,-0.5,-0.012912752069127509,-0.013549380055088545,-0.06825475919118862,-0.05295825770445317,-0.03691878725496446
transit_frequency,low,-482.50038709744155,-466.50882597695175,-470.4820947578261,-490.69101948887965,-496.7476886980742,2.0,1.0,-0.25,-0.5,-0.01657155263303478,-0.0249083579225986,-0.06790156120462587,-0.059056125058633224,-0.04210939920472312
transit_frequency,middle,-450.8057153808428,-439.9370293282719,-442.43052118244935,-456.33221210214964,-461.5914080902989,2.0,1.0,-0.25,-0.5,-0.012054734092478203,-0.01857827865229711,-0.049036616287245316,-0.04785073632149617,-0.0318800913383792
transit_price,high,-450.84306621267956,-457.42285300815905,-450.16143586063254,-450.49427391826094,-445.557743089333,0.5,-0.25,-0.5,-1.0,0.029188812199123504,0.006047606390162219,0.0015472891591685745,0.01172319931133936,0.012126726764948415
transit_price,low,-493.83193962368597,-501.0426964542794,-490.98625502695864,-492.9066730681868,-480.5868738448644,0.5,-0.25,-0.5,-1.0,0.029203282542187292,0.023049822163352385,0.003747293284449116,0.026820998635517013,0.02070534915637645
transit_price,middle,-457.5471311117485,-462.81763011882134,-454.4170201655831,-455.9196157356333,-451.273853204058,0.5,-0.25,-0.5,-1.0,0.023038059464023153,0.02736427120467244,0.007114088431330323,0.013710670401205882,0.01780677237530795
transit_speed,high,-450.84306621267956,-441.2433255435529,,,,-0.25,,,,0.08517146110081786,,,,0.08517146110081786
transit_speed,low,-493.83193962368597,-476.9436988651568,,,,-0.25,,,,0.1367934262931514,,,,0.1367934262931514
transit_speed,middle,-457.5471311117485,-447.6351561239159,,,,-0.25,,,,0.08665314949083802,,,,0.08665314949083802
tnc_price,high,-444.2456204529881,-454.9012320759245,-448.95250004328506,-431.1626066047724,-417.707569820941,0.5,0.25,-0.25,-0.5,0.047971712639828024,0.0423808755660664,0.11779982285362944,0.11947467531581646,0.08190677159383508
tnc_price,low,-482.50038709744155,-491.61008113393643,-486.63262527658634,-467.7794455867005,-459.11479331747694,0.5,0.25,-0.25,-0.5,0.0377603594944067,0.03425686933851324,0.12203879544468155,0.09693502598265002,0.07274776256506288
tnc_price,middle,-450.8057153808428,-461.6746347726851,-454.69387108562796,-433.53556573546683,-425.89517319779424,0.5,0.25,-0.25,-0.5,0.048219971579820164,0.034499613222520153,0.15323807180027504,0.11051564491370303,0.0866183253790796
share_tnc_price,high,-444.2456204529881,-453.79712283585826,-436.36927958405585,-444.89452029141444,-438.7802106085017,0.5,0.25,-0.25,-0.5,0.04300099739027585,-0.07091879362502995,-0.005842712306446174,0.02460535160217625,-0.0022887892347560057
share_tnc_price,low,-482.50038709744155,-494.7230830049551,-480.81042092366255,-477.6065374492088,-474.59396956368676,0.5,0.25,-0.25,-0.5,0.05066398384068105,-0.014010071029747717,0.04057074173699604,0.032772688873130784,0.02749933585526504
share_tnc_price,middle,-450.8057153808428,-458.7979889134395,-447.5477518775944,-450.9840845591392,-443.6943645112869,0.5,0.25,-0.25,-0.5,0.035457729393891135,-0.028907916577730397,-0.001582670070149561,0.03154951513224802,0.009129164469564799
operating_cost,high,-444.2456204529881,-586.275102983655,-527.7669151696708,-387.72325615488637,-335.9909411303443,1.0,0.5,-0.25,-0.5,0.3197093589484177,0.37601403760162144,0.5089289500746639,0.48736408121371544,0.4230041069596046
operating_cost,low,-482.50038709744155,-632.3444024618092,-562.9210691535736,-430.24680164012375,-375.4787311207981,1.0,0.5,-0.25,-0.5,0.3105572956444207,0.3333497099967757,0.43318999822286264,0.4436127258692968,0.38017743243333896
operating_cost,middle,-450.8057153808428,-606.3569432798802,-533.3865260884618,-394.4227095102201,-341.32493941088256,1.0,0.5,-0.25,-0.5,0.3450515878389584,0.3663698479858639,0.5002865220818249,0.48571157034897117,0.4243548820639046
cordon_pricing,high,-444.2456204529881,-447.49101756080057,-444.18533905501215,-446.28945771253893,-443.82475129026614,0.25,0.1,-0.25,-0.5,0.029221646390150013,-0.0013569384862921474,-0.018402767887429228,0.0018947588601674337,0.002839174719149018
cordon_pricing,low,-482.50038709744155,-485.84201903961423,-483.0244131444009,-484.0054604797283,-481.86805176101836,0.25,0.1,-0.25,-0.5,0.027702626000155384,0.010860634747087428,-0.012477282278182678,0.0026210770118841875,0.00717676387023608
cordon_pricing,middle,-450.8057153808428,-452.2780923317798,-449.47084286303146,-452.0763443838097,-451.7335640750272,0.25,0.1,-0.25,-0.5,0.013064403584086115,-0.02961081619569983,-0.01127429364460042,-0.004116401644999268,-0.00798427697530335
