policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1951653,2620312,2329224.0,1710813.0,1529605.0,2.0,1.0,-0.25,-0.5,0.17130581102275866,0.19346215746344253,0.4936123378489925,0.43250311402693,0.32272085509053094
transit_price,none,1626553,1493582,1690120.0,1794660.0,2003051.0,0.5,-0.25,-0.5,-1.0,-0.16350035934888063,-0.15632321848719322,-0.20670337824835716,-0.23146986295558758,-0.18949920476000465
transit_speed,none,1626553,2165573,,,,-0.25,,,,-1.3255516420307236,,,,-1.3255516420307236
tnc_price,none,1951653,1958388,1952790.0,1953899.0,1987033.0,0.5,0.25,-0.25,-0.5,0.006901841669600284,0.00233033228755275,-0.004603277324401134,-0.036256445177498264,-0.007906887136186591
share_tnc_price,none,1951653,1953930,1946556.0,1967599.0,2001206.0,0.5,0.25,-0.25,-0.5,0.002333406604555055,-0.010446529172962737,-0.03268203927644908,-0.05078054346751193,-0.022893926328092173
operating_cost,none,1951653,2534624,2258692.0,1792287.0,1650148.0,1.0,0.5,-0.25,-0.5,0.298706276166921,0.3146450726640442,0.32662773556569746,0.3089739825675979,0.31223826674106514
cordon_pricing,none,1951653,1970366,1960224.0,1951138.0,1940078.0,0.25,0.1,-0.25,-0.5,0.03835312937289537,0.04391661837427119,0.0010555155040368192,0.011861739766239277,0.023796750754360663
park_ride,none,1951653,1950894,1954005.0,1950817.0,1944616.0,0.5,0.25,-0.25,-0.5,-0.0007778022015183517,0.00482052905921293,0.0017134193424754862,0.007211322914473017,0.0032418672786607705
telecommute_option,none,1951653,1915664,1927188.0,1991029.0,1990289.0,0.5,0.25,-0.25,-0.5,-0.03688053152891424,-0.05014211030341986,-0.08070287084845518,-0.03959310389705539,-0.05182965414446117
telecommute_frequency,none,1951653,1970515,1956270.0,1932573.0,1901460.0,-1.0,-0.5,1.0,2.0,-0.009664627882108201,-0.004731373866153632,-0.00977632806651596,-0.012859099440320598,-0.009257857313774598
av_rates,none,1626553,1613583,1607537.0,1566256.0,1529368.0,0.05,0.1,0.25,0.5,-0.15947835699174906,-0.11690980865671108,-0.148281672961164,-0.1194981042732699,-0.1360419857207235
av_vot,none,1626553,1617958,1599586.0,1566256.0,1543273.0,-0.1,-0.2,-0.4,-0.6,0.05284180718365783,0.08289616139160516,0.09267604560072751,0.08533383172881548,0.0784369614762015
tod,none,2089347,2075174,2078317.0,2082043.0,,0.1,0.25,0.5,,-0.06783459138190118,-0.021116645535662393,-0.006991658159223979,,-0.03198096502559585
