policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1.3193702034535812,1.319203197308472,1.3195382792400252,1.319775894733893,1.3197297957704834,2.0,1.0,-0.25,-0.5,-6.329010033429006e-05,0.00012739092182312284,-0.001229954350188578,-0.0005450969196680866,-0.00042773761209195793
transit_price,none,1.3195826131940513,1.3195294156002935,1.3190984903034146,1.3192944709991077,1.3194775512470023,0.5,-0.25,-0.5,-1.0,-8.062790950114085e-05,0.0014675030901321051,0.00043671717414683897,7.961755936958248e-05,0.00047580247853684643
transit_speed,none,1.3195826131940513,1.3203145055360759,,,,-0.25,,,,-0.002218557094361806,,,,-0.002218557094361806
tnc_price,none,1.3193702034535812,1.3180131288510037,1.3180245413312675,1.3209869588456924,1.3255741425816057,0.5,0.25,-0.25,-0.5,-0.0020571551472441385,-0.004079710512762347,-0.004901597407244829,-0.009404394781366232,-0.0051107144621543865
share_tnc_price,none,1.3193702034535812,1.3187981041873398,1.3180103284629794,1.3206877028008617,1.3231590189414486,0.5,0.25,-0.25,-0.5,-0.0008672308420243358,-0.004122800369577018,-0.003994328032668193,-0.005743369795603748,-0.0036819322599683235
operating_cost,none,1.3193702034535812,1.3176941388236458,1.3181921085056136,1.3191916213812112,1.319937825782958,1.0,0.5,-0.25,-0.5,-0.001270352040350864,-0.001785844404980308,0.0005414161147574426,-0.000860444366396873,-0.0008438061742426506
cordon_pricing,none,1.3193702034535812,1.3201497462087104,1.3190038187711115,1.3193269452437988,1.318189226020558,0.25,0.1,-0.25,-0.5,0.0023633783848948653,-0.0027769664762078428,0.0001311480573660262,0.0017902138913428178,0.00037694346434896664
park_ride,none,1.3193702034535812,1.3192500484700185,1.319248256232676,1.319699797585733,1.319053724325333,0.5,0.25,-0.25,-0.5,-0.00018213990773507938,-0.0003697134301989813,-0.0009992468566863977,0.0004797427248541819,-0.0002678393674415691
telecommute_option,none,1.3193702034535812,1.3283022041491848,1.3231567633827057,1.3155016538328708,1.3112500168542462,0.5,0.25,-0.25,-0.5,0.013539794475005085,0.011479901302038797,0.011728473511328996,0.012309185970820868,0.012264338814798437
telecommute_frequency,none,1.3193702034535812,1.3143422006184604,1.3173477442475714,1.3235557576664547,1.3280272300655145,-1.0,-0.5,1.0,2.0,0.003810911313564258,0.00306579487806502,0.0031723880090042123,0.0032807420499844087,0.0033324590626544748
av_rates,none,1.3195826131940513,1.3193273326454227,1.318935412922436,1.3190602572702346,1.319701798036322,0.05,0.1,0.25,0.5,-0.0038691105214061494,-0.004904583200355805,-0.0015833974124666028,0.00018064021316854806,-0.0025441127302650024
av_vot,none,1.3195826131940513,1.3193245461583445,1.3194915626503942,1.3190602572702346,1.3188720798419704,-0.1,-0.2,-0.4,-0.6,0.0019556716883550873,0.00034499751189021044,0.0009896233827916268,0.000897421837501855,0.0010469286051346949
tod,none,1.3191504330172474,1.3188721773623882,1.3189495244943295,1.3191003943603519,,0.1,0.25,0.5,,-0.002109354990111889,-0.0006092057975783938,-7.58649743701767e-05,,-0.0009314752540201532
