policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,-3482251383.3259478,-3381817769.9060054,-3411153350.741324,-3536683496.849723,-3576833800.6170683,2.0,1.0,-0.25,-0.5,-0.014420787353384146,-0.020417260202713172,-0.06252519710025783,-0.05432256714377903,-0.037921452950033546
transit_price,none,-3548103884.508984,-3596947378.5385947,-3530261619.5823774,-3540695541.8562884,-3479284295.3479314,0.5,-0.25,-0.5,-1.0,0.027532166824574045,0.020114704086885205,0.00417594461370796,0.019396159583015327,0.017804743777045634
transit_speed,none,-3548103884.508984,-3450574590.503593,,,,-0.25,,,,0.10995088890289129,,,,0.10995088890289129
tnc_price,none,-3482251383.3259478,-3557254629.5156574,-3513917476.1068544,-3369291128.0715394,-3297061942.3558736,0.5,0.25,-0.25,-0.5,0.04307744498220156,0.036374275484571506,0.1297554286807614,0.106361902450131,0.07889226289941637
share_tnc_price,none,-3482251383.3259478,-3559637244.7640924,-3454213793.013774,-3467173196.7706127,-3429289278.1365194,0.5,0.25,-0.25,-0.5,0.04444587878330175,-0.03220627947359134,0.017320043725198797,0.030418312384353774,0.014994488854815746
operating_cost,none,-3482251383.3259478,-4605519538.73677,-4097017469.564,-3072598730.0938063,-2670413472.0214105,1.0,0.5,-0.25,-0.5,0.3225695194750622,0.35308541432806084,0.47056068978096155,0.4662718580237246,0.4031218704019523
cordon_pricing,none,-3482251383.3259478,-3502844441.216147,-3480869042.3595634,-3493991467.7714643,-3481395979.0128837,0.25,0.1,-0.25,-0.5,0.02365487797785626,-0.003969675977453235,-0.013485625422370973,0.0004912938320076332,0.001672717602509921
park_ride,none,-3482251383.3259478,-3494381400.436733,-3477270001.1963706,-3478694380.8583217,-3501026612.0640445,0.5,0.25,-0.25,-0.5,0.006966767057006162,-0.0057220247262210755,0.0040858652361035475,-0.010783385041067461,-0.0013631943685447068
telecommute_option,none,-3482251383.3259478,-3370168266.399858,-3412442023.6847796,-3573573121.756981,-3650623279.8938932,0.5,0.25,-0.25,-0.5,-0.06437393777070599,-0.08018876520567808,-0.10489965068956142,-0.09670289593345283,-0.08654131239984958
telecommute_frequency,none,-3482251383.3259478,-3524942426.683129,-3535115555.168383,-3450220964.52924,-3335064553.8418217,-1.0,-0.5,1.0,2.0,-0.012259609849420539,-0.030362065240645553,-0.009198192568772856,-0.021133860437086815,-0.01823843202398144
av_rates,none,-3548103884.508984,-3483738394.106688,-3457055876.390269,-3324694223.5668807,-3110618182.191535,0.05,0.1,0.25,0.5,-0.36281626749045115,-0.2566103222519234,-0.2518637201323326,-0.24660253282183242,-0.2794732106741349
av_vot,none,-3548103884.508984,-3516695619.487604,-3442683499.0115094,-3324694223.5668807,-3192099452.0118804,-0.1,-0.2,-0.4,-0.6,0.08852126669263605,0.1485587639608582,0.15741482508270788,0.1672275503034256,0.14043060150990694
tod,none,-3698823622.751878,-3645619504.6272974,-3668823813.938339,-3654331127.8091874,,0.1,0.25,0.5,,-0.14384064651614126,-0.032442540519106,-0.024057646149447054,,-0.06678027772823143
