policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,120506734.8224578,116461231.00474156,117896526.3417073,120815766.50628345,120972471.640768,2.0,1.0,-0.25,-0.5,-0.03357076949828963,-0.03249040584241353,-0.008975522363819044,-0.005797229744001764,-0.020208481862130992
transit_price,none,120506734.8224578,121504048.41774452,120339852.43284638,120338811.29912877,119486507.65385874,0.5,-0.25,-0.5,-1.0,0.020689997051950293,0.004846935438923783,0.0020902174917000194,0.004233071164454705,0.0079650552867572
transit_speed,none,120506734.8224578,117989620.40253694,,,,-0.25,,,,0.07310712121362034,,,,0.07310712121362034
tnc_price,none,119115246.67008652,118476453.45291509,118896591.3345601,118865432.40883051,120664398.34058216,0.5,0.25,-0.25,-0.5,-0.013407041395395447,-0.008260479135757726,0.0073403694223771465,-0.0195082289690377,-0.008458845019453431
share_tnc_price,none,119115246.67008652,120837683.1139675,118260810.5519928,119279234.79655914,118201171.6479636,0.5,0.25,-0.25,-0.5,0.03615062916025369,-0.032279348269085406,-0.00481851365546726,0.011510806311655075,0.0026408933868390244
operating_cost,none,119115246.67008652,100068960.13755947,108955741.0457916,125740616.89875901,133065470.11783895,1.0,0.5,-0.25,-0.5,-0.23984695996071193,-0.21322848896988184,-0.19467529513312232,-0.17567302051252554,-0.2058559411440604
cordon_pricing,none,119115246.67008652,119862693.33678427,119431452.54462378,119449435.56519018,118811803.26599328,0.25,0.1,-0.25,-0.5,0.028237443099587756,0.0278735239648793,-0.009819575289991223,0.0038212161655554744,0.012528151985007827
park_ride,none,119115246.67008652,119652757.02231333,118971027.53071043,118768171.69949986,119507943.72389996,0.5,0.25,-0.25,-0.5,0.011281308800785705,-0.0054483883913691855,0.010198210816939446,-0.004945173663214231,0.0027714893907854338
telecommute_frequency,none,119115246.67008652,121042915.20108347,120038944.47926551,118249813.87470773,115844029.88662398,-1.0,-0.5,1.0,2.0,-0.008091611212190153,-0.011631984590570799,-0.01089826222384166,-0.02746262023469448,-0.014521119565324273
av_rates,none,120506734.8224578,120324340.90468727,121503631.49315466,122415636.05579719,124754591.24938057,0.05,0.1,0.25,0.5,-0.031027936486741785,0.08686166011997964,0.07128278400939936,0.08812487603247099,0.05381034591877705
av_vot,none,120506734.8224578,121649878.97707075,121120448.6630539,122415636.05579719,123024863.00848264,-0.1,-0.2,-0.4,-0.6,-0.09011836130837658,-0.022917493256715327,-0.031681237337510826,-0.02437885501882738,-0.04227398673035753
tod,none,128901276.97686718,127585568.66534214,128297501.72154647,127715818.6823874,,0.1,0.25,0.5,,-0.10717455711080504,-0.021078058438713465,-0.02299159330075018,,-0.05041473628342289
