policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1626553,2603900,2324578.0,1707409.0,1514545.0,2.0,1.0,-0.25,-0.5,0.6008700607972812,0.643715575207202,-0.17398510838564707,0.10329328340361488,0.2934734527556127
transit_price,none,1626553,1493582,1690120.0,1794660.0,2003051.0,0.5,-0.25,-0.5,-1.0,-0.2043754491861008,-0.13678281617629406,-0.15502753368626787,-0.11573493147779379,-0.15298018263161411
transit_speed,none,1626553,2165573,,,,-0.25,,,,-1.1598576867768833,,,,-1.1598576867768833
tnc_price,none,1951653,1958388,1952790.0,1953899.0,1987033.0,0.5,0.25,-0.25,-0.5,0.008627302087000355,0.0026216238234968436,-0.004027867658850992,-0.027192333883123698,-0.004992818907869373
share_tnc_price,none,1951653,1953930,1946556.0,1967599.0,2001206.0,0.5,0.25,-0.25,-0.5,0.0029167582556938187,-0.01175234531958308,-0.028596784366892947,-0.03808540760063395,-0.01887944475785404
operating_cost,none,1951653,2539719,2251946.0,1793738.0,1661965.0,1.0,0.5,-0.25,-0.5,0.4519753255317416,0.38466494812346264,0.28319711547083437,0.222648185922395,0.33562139376210837
cordon_pricing,none,1951653,1970366,1960224.0,1951138.0,1940078.0,0.25,0.1,-0.25,-0.5,0.04314727054450729,0.04611244929298475,0.0009235760660322168,0.008896304824679457,0.024769900182050927
park_ride,none,1951653,1950894,1954005.0,1950817.0,1944616.0,0.5,0.25,-0.25,-0.5,-0.0009722527518979396,0.0054230951916145465,0.0014992419246660504,0.005408492185854763,0.002839644137559355
telecommute_frequency,none,1951653,1970515,1956270.0,1932573.0,1901460.0,-1.0,-0.5,1.0,2.0,-0.0048323139410541005,-0.003548530399615224,-0.01466449209977394,-0.025718198880641197,-0.012190883830271115
av_rates,none,1626553,1613583,1607537.0,1566256.0,1529368.0,0.05,0.1,0.25,0.5,-0.16346531591654276,-0.12275529908954663,-0.16681688208130951,-0.14937263034158738,-0.1506025318572466
av_vot,none,1626553,1617958,1599586.0,1566256.0,1543273.0,-0.1,-0.2,-0.4,-0.6,0.05019971682447493,0.07460654525244464,0.074140836480582,0.05973368221017083,0.0646701951919181
tod,none,2089347,2075174,2078317.0,2082043.0,,0.1,0.25,0.5,,-0.07122632095099624,-0.023756226227620192,-0.008739572699029974,,-0.034574039959215465
