policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,15.856649564721662,15.569434940858331,15.706183040277343,16.039492518132878,16.2814425156827,2.0,1.0,-0.25,-0.5,-0.00905659870614578,-0.00948917511421088,-0.04612398165574927,-0.05357915607924246,-0.029562227888837098
transit_price,none,16.042756124922793,16.174907951565356,16.020296362912525,16.020475538729926,15.905891935262597,0.5,-0.25,-0.5,-1.0,0.016474953008512205,0.005599975923183287,0.002777650675404031,0.00853121424987413,0.008345948464243413
transit_speed,none,16.042756124922793,15.706950205058554,,,,-0.25,,,,0.08372773786483156,,,,0.08372773786483156
tnc_price,none,15.856649564721662,15.772669391587154,15.827205007791374,15.82288449593657,16.063783962972128,0.5,0.25,-0.25,-0.5,-0.010592423423589903,-0.0074276868666625084,0.00851757961788202,-0.026125871976297343,-0.008907100662166934
share_tnc_price,none,15.856649564721662,16.08621694870237,15.743655028608606,15.878384584524138,15.734722614095057,0.5,0.25,-0.25,-0.5,0.02895534558466295,-0.028504012944689183,-0.005482878262210278,0.01537865236018976,0.002586776684488312
operating_cost,none,15.856649564721662,13.204931141875027,14.422399839395064,16.599755992354766,17.69636368429273,1.0,0.5,-0.25,-0.5,-0.16723068842652966,-0.1809019893480599,-0.1874561015175331,-0.23204323360517698,-0.1919080032243249
cordon_pricing,none,15.856649564721662,15.957097239026817,15.899316542000454,15.901492492941166,15.81598982366035,0.25,0.1,-0.25,-0.5,0.02533894033418882,0.026907939854909912,-0.011312081543196406,0.0051284151668171685,0.011515803453179874
park_ride,none,15.856649564721662,15.928871012174666,15.837809495669292,15.809887035440125,15.909927271024431,0.5,0.25,-0.25,-0.5,0.009109294767247977,-0.004752597697381233,0.011796320298476104,-0.006719919751686287,0.00235827440416414
telecommute_option,none,15.856649564721662,15.501235520685215,15.68669995682607,16.11310669807369,16.345534174219118,0.5,0.25,-0.25,-0.5,-0.04482839109053427,-0.042871505030596335,-0.06469390202646608,-0.061663040165198524,-0.0535142095781988
telecommute_frequency,none,15.856649564721662,16.114460396390133,15.979272087340124,15.74146809418481,15.42151699191623,-1.0,-0.5,1.0,2.0,-0.01625884652468179,-0.015466384890194806,-0.007263922310114634,-0.013720823274468052,-0.013177494249864821
av_rates,none,16.042756124922793,16.017527711464776,16.17500748396621,16.29583113708903,16.607501928180564,0.05,0.1,0.25,0.5,-0.031451470385222,0.08243680700098732,0.06310013321790287,0.07040508486947905,0.04612263867578681
av_vot,none,16.042756124922793,16.194252276359116,16.123550328607163,16.29583113708903,16.377059366221758,-0.1,-0.2,-0.4,-0.6,-0.09443274600489104,-0.025180898797948492,-0.03943758326118929,-0.03473044559756352,-0.04844541841539809
tod,none,15.942773428454784,15.781277510934611,15.86860756275043,15.799276154013025,,0.1,0.25,0.5,,-0.10129725436098358,-0.01860802100391945,-0.018001544723158736,,-0.04596894002935392
