policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,hispanic,13.350436741332429,12.859883819126651,13.03306787793173,13.470945221012046,13.447078931539131,2.0,1.0,-0.25,-0.5,-0.03674433516373621,-0.03565825630462005,-0.031592949882519705,-0.010858317830251374,-0.028713464795281834
transit_frequency,non_hispanic,16.811569023300624,16.259155371960105,16.455399931187372,16.82877320810246,16.862657303470744,2.0,1.0,-0.25,-0.5,-0.032859137096298396,-0.031778927798435,-0.003581738665972778,-0.004558314583782641,-0.018194529536122203
transit_price,hispanic,13.350436741332429,13.56141035425601,13.345916744687706,13.395921279453942,13.250486563501587,0.5,-0.25,-0.5,-1.0,0.03950687475833936,0.0011849790806879867,-0.005110455073806142,0.003743329891276126,0.009831182164124333
transit_price,non_hispanic,16.811569023300624,16.921564742204957,16.784097440751207,16.770281057627137,16.66458820902876,0.5,-0.25,-0.5,-1.0,0.016357146491187136,0.005719307864107959,0.0036838886616944455,0.004371418695903684,0.007532940428223306
transit_speed,hispanic,13.350436741332429,13.081262174434817,,,,-0.25,,,,0.07056780256670575,,,,0.07056780256670575
transit_speed,non_hispanic,16.811569023300624,16.456933396653724,,,,-0.25,,,,0.07383157940486279,,,,0.07383157940486279
tnc_price,hispanic,13.236049644919895,13.153583330798172,13.158645814497932,13.126869384524326,13.396892970363805,0.5,0.25,-0.25,-0.5,-0.015576081295784194,-0.026315800124889877,0.02887046525480169,-0.018227869692107435,-0.0078123214644949535
tnc_price,non_hispanic,16.605048349266575,16.52089387969398,16.589528810937686,16.59311553286741,16.825613728730687,0.5,0.25,-0.25,-0.5,-0.012670012727832858,-0.00420582469927494,0.002515190351668972,-0.019924547176086937,-0.008571298562881441
share_tnc_price,hispanic,13.236049644919895,13.436761710362706,13.176508707940393,13.251820096138596,13.148825551885169,0.5,0.25,-0.25,-0.5,0.037910114956362095,-0.020242763029420463,-0.004170170159994768,0.009884832942002708,0.005845503677237393
share_tnc_price,non_hispanic,16.605048349266575,16.84296338187394,16.476998675366158,16.628468258795913,16.47333886899535,0.5,0.25,-0.25,-0.5,0.03581968380987455,-0.034701707603117415,-0.004936431477256531,0.011897840719961916,0.0020198463623656293
operating_cost,hispanic,13.236049644919895,10.97205013430826,11.939322002723879,13.990607417096747,14.858239753754026,1.0,0.5,-0.25,-0.5,-0.2565719649760354,-0.24492346224572192,-0.1995272209962281,-0.1838377180902392,-0.22121509157705616
operating_cost,non_hispanic,16.605048349266575,13.99342336420711,15.237269755474436,17.522473741806063,18.52953650574612,1.0,0.5,-0.25,-0.5,-0.2359184625778114,-0.20592812574564884,-0.19337425621106596,-0.17384666241256808,-0.20226687673677357
cordon_pricing,hispanic,13.236049644919895,13.319230451386392,13.22250280388566,13.242894298030587,13.165787008030337,0.25,0.1,-0.25,-0.5,0.02827985986309034,-0.010746547094892145,-0.0018099271708771347,0.007962644305643474,0.0059215074757411335
cordon_pricing,non_hispanic,16.605048349266575,16.710424289434044,16.663834530223323,16.660742541091228,16.572944737049276,0.25,0.1,-0.25,-0.5,0.028557082206542406,0.03717272524973425,-0.01173918119876427,0.0029000468600307028,0.014222668279385772
