policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,18.435351909471986,17.907262176865103,18.12324849112274,18.413940550031516,18.469779291385688,2.0,1.0,-0.25,-0.5,-0.02864549237791081,-0.025394423161693547,0.0040650028493973145,-0.0028011981069923086,-0.013194027699299837
transit_frequency,low,13.212532729347442,12.703009988076545,12.862429594668736,13.278389210554261,13.26462384717976,2.0,1.0,-0.25,-0.5,-0.038563593499311044,-0.03974670964118754,-0.01744538227041692,-0.0059138303267864956,-0.0254173789344255
transit_frequency,middle,18.373949555092125,17.78002301826857,17.998707011309833,18.426199290568697,18.47117476171091,2.0,1.0,-0.25,-0.5,-0.0323243805063651,-0.030633795634725014,-0.009952899545069172,-0.007937205307486983,-0.020212070248411568
transit_price,high,18.435351909471986,18.501601185912556,18.441611551293803,18.41459969009686,18.31886386104938,0.5,-0.25,-0.5,-1.0,0.008983999432976564,-0.0011884094474541307,0.0016885128754550727,0.003159366010332454,0.00316086721782749
transit_price,low,13.212532729347442,13.370308768849112,13.183765397352238,13.199564780475512,13.054877515483886,0.5,-0.25,-0.5,-1.0,0.02985348129946719,0.007620466419702987,0.0014722327434382732,0.005966123872426621,0.011228076083758767
transit_price,middle,18.373949555092125,18.523340009420764,18.336216061081924,18.336270339996936,18.252564603121268,0.5,-0.25,-0.5,-1.0,0.020326393881825444,0.007187743094630494,0.003076030141114572,0.0033031807235264776,0.008473336960274247
transit_speed,high,18.435351909471986,18.061504277705012,,,,-0.25,,,,0.07097595519791122,,,,0.07097595519791122
transit_speed,low,13.212532729347442,12.910665617119257,,,,-0.25,,,,0.07996459985691406,,,,0.07996459985691406
transit_speed,middle,18.373949555092125,18.018451252165473,,,,-0.25,,,,0.06771783369234585,,,,0.06771783369234585
tnc_price,high,18.24739591669643,18.1163812483865,18.212154725277205,18.215466284874097,18.437007697984455,0.5,0.25,-0.25,-0.5,-0.01794977608148063,-0.008690848935951512,0.0061243649169638315,-0.015586754034957795,-0.009025753533856526
tnc_price,low,13.02539699381641,12.978069956062814,13.000312947811251,12.99876140581883,13.233543363167522,0.5,0.25,-0.25,-0.5,-0.009083607543029781,-0.008666008957485372,0.007157137554869908,-0.02397006050371353,-0.008640634862339694
tnc_price,middle,18.190937737934384,18.091204832044482,18.159562117137373,18.145161156606353,18.412131360413664,0.5,0.25,-0.25,-0.5,-0.013706399764362165,-0.007761573131665311,0.008807574241431138,-0.01823932545418039,-0.007724931027194182
share_tnc_price,high,18.24739591669643,18.466165752593277,18.027055892287954,18.27288396683059,18.07542182875812,0.5,0.25,-0.25,-0.5,0.029972747467033045,-0.054338170463593904,-0.0048888167866155685,0.014136873726262988,-0.00377934151422836
share_tnc_price,low,13.02539699381641,13.273933908413193,12.961569506465265,13.034487737848208,12.927253155708867,0.5,0.25,-0.25,-0.5,0.04770236844120257,-0.022051050974991604,-0.0024427358433988244,0.01130220884869787,0.008627697617877503
share_tnc_price,middle,18.190937737934384,18.40030103538647,18.09510113554104,18.228404361835757,18.075028903924377,0.5,0.25,-0.25,-0.5,0.028773021554503453,-0.023707667904921403,-0.007208709388375922,0.009557684904415109,0.001853582291405309
operating_cost,high,18.24739591669643,15.610387286301176,16.897371457943304,19.128886093031205,20.091771989006617,1.0,0.5,-0.25,-0.5,-0.21677136637198596,-0.1849612493909128,-0.16907703604703017,-0.15161418764054235,-0.18060595986261782
operating_cost,low,13.02539699381641,10.663471934138956,11.729942249116402,13.88889154701394,14.84495573767562,1.0,0.5,-0.25,-0.5,-0.27199843438154764,-0.24864016530839778,-0.23202601330509254,-0.20953972589737757,-0.24055108472310388
operating_cost,middle,18.190937737934384,15.477999986079821,16.74892404109178,19.1000537791351,20.117922785163156,1.0,0.5,-0.25,-0.5,-0.22370515948145575,-0.1981774823289495,-0.17491710378223801,-0.1588965677572255,-0.1889240783374672
cordon_pricing,high,18.24739591669643,18.366369595969193,18.28328027235314,18.316749407085595,18.21874240175967,0.25,0.1,-0.25,-0.5,0.029340162244057555,0.020648740023812007,-0.013302567526360165,0.0023554195130832123,0.009760438563648152
cordon_pricing,low,13.02539699381641,13.118623836302541,13.08014194918085,13.044469186469032,12.989474015445449,0.25,0.1,-0.25,-0.5,0.03220790824162667,0.04413086461775506,-0.005124809195134028,0.004136877177871923,0.018837710210529907
cordon_pricing,middle,18.190937737934384,18.28597205859507,18.220875213911246,18.255073570077574,18.13286636043562,0.25,0.1,-0.25,-0.5,0.023509202721380018,0.01728022503763116,-0.012339958265760842,0.004788486855545504,0.00830948908719896
park_ride,high,18.24739591669643,18.36096779676809,18.184930634752625,18.217495354859693,18.279714162456706,0.5,0.25,-0.25,-0.5,0.015560012040915505,-0.015404596361605793,0.005735172673752509,-0.0026566732514451408,0.0008084787754042699
