policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,Bike,2.325096368789673,2.3396706581115723,2.3198437690734863,2.367962598800659,2.3635456562042236,2.0,1.0,-0.25,-0.5,0.0031341258619499435,-0.0022590890367786276,-0.07374529604259017,-0.03307328498780926,-0.026485886051307028
transit_frequency,Drive Alone,8.1217041015625,8.18830680847168,8.16634464263916,8.092976570129395,8.144148826599121,2.0,1.0,-0.25,-0.5,0.0041002913967504995,0.005496450069890191,0.014148524040701549,-0.0055270974553982555,0.004554542012985996
transit_frequency,Public Transit,5.944380760192871,5.730934143066406,5.810884952545166,6.034115791320801,6.2259135246276855,2.0,1.0,-0.25,-0.5,-0.01795364611868666,-0.02245747926204067,-0.060383097750971615,-0.0947223187047932,-0.048879135459123035
transit_frequency,Shared Ride,6.187724590301514,6.2755842208862305,6.22963809967041,6.171139240264893,6.243616104125977,2.0,1.0,-0.25,-0.5,0.0070995104341283755,0.00677365463786006,0.010721453286797189,-0.018065288139057056,0.0016323325549321421
transit_frequency,TNC - Pooled,5.937061309814453,5.998618125915527,5.969496250152588,5.907154083251953,5.953864097595215,2.0,1.0,-0.25,-0.5,0.005184114908777793,0.005463130435341412,0.020149515055915668,-0.005660304620060064,0.006284113944993702
transit_frequency,TNC - Ride Alone,3.769172191619873,3.8056981563568115,3.8092918395996094,3.7666242122650146,3.7908565998077393,2.0,1.0,-0.25,-0.5,0.004845356338209705,0.010644153660301248,0.0027040201140433595,-0.011506191325552972,0.001671834696750335
transit_frequency,Walk,0.6979201436042786,0.7156533002853394,0.7368513345718384,0.7331253290176392,0.7325059175491333,2.0,1.0,-0.25,-0.5,0.012704287763841582,0.055781727070531195,-0.2017719977620933,-0.0991109778440924,-0.05809924019295323
transit_price,Bike,2.325096368789673,2.3359036445617676,2.3363921642303467,2.3440091609954834,2.3579294681549072,0.5,-0.25,-0.5,-1.0,0.009296195991842282,-0.0194328210947301,-0.01626839425641169,-0.014121177859963474,-0.010131549304815746
transit_price,Drive Alone,8.1217041015625,8.120267868041992,8.124238014221191,8.093140602111816,8.135458946228027,0.5,-0.25,-0.5,-1.0,-0.0003536778741375368,-0.0012479709317183563,0.007033868531405529,-0.001693590962379643,0.0009346571907924983
transit_price,Public Transit,5.944380760192871,5.940484046936035,5.952338218688965,5.924886703491211,5.985548496246338,0.5,-0.25,-0.5,-1.0,-0.0013110577582549077,-0.005354608876592337,0.006558818315342219,-0.006925487736107128,-0.0017580840139030385
transit_price,Shared Ride,6.187724590301514,6.1877875328063965,6.197290897369385,6.168217658996582,6.205490589141846,0.5,-0.25,-0.5,-1.0,2.034431363728828e-05,-0.006184054851352094,0.006305041868058137,-0.002871168323842044,-0.0006824592483746783
