policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,18.431459426879883,19.014022827148438,18.74137306213379,18.31651496887207,18.27507209777832,2.0,1.0,-0.25,-0.5,0.015803507111839532,0.0168143839332624,0.024945275432759484,0.016969608914798373,0.018633193848164947
transit_frequency,low,17.18309211730957,17.930660247802734,17.514734268188477,17.029619216918945,16.941875457763672,2.0,1.0,-0.25,-0.5,0.02175301527191642,0.019300493101868543,0.03572649191259858,0.02807604800103536,0.026214012071854725
transit_frequency,middle,18.541513442993164,19.170513153076172,18.841035842895508,18.40482521057129,18.359865188598633,2.0,1.0,-0.25,-0.5,0.016961930103950196,0.016154150567225356,0.029488042136825765,0.01959368149240004,0.02054945107510034
transit_price,high,18.431459426879883,18.498138427734375,18.48906135559082,18.478425979614258,18.52120590209961,0.5,-0.25,-0.5,-1.0,0.007235346839355561,-0.012500785179698326,-0.005096346593789658,-0.004869200704141985,-0.003807746409568602
transit_price,low,17.18309211730957,17.20736312866211,17.132389068603516,17.204051971435547,17.279863357543945,0.5,-0.25,-0.5,-1.0,0.0028249876316603917,0.011803009227886019,-0.0024395904977851934,-0.005631771020821796,0.0016391588352348552
transit_price,middle,18.541513442993164,18.582763671875,18.49346351623535,18.59903907775879,18.621746063232422,0.5,-0.25,-0.5,-1.0,0.0044494996601720516,0.010365912557363632,-0.006205063566411706,-0.004327188311026298,0.00107079008502442
transit_speed,high,18.431459426879883,18.895313262939453,19.297487258911133,,,-0.1,-0.25,,,-0.251664192897878,-0.18794557977720672,,,-0.21980488633754236
transit_speed,low,17.18309211730957,17.513469696044922,17.948665618896484,,,-0.1,-0.25,,,-0.192268991215232,-0.17821553800918188,,,-0.18524226461220694
transit_speed,middle,18.541513442993164,18.94367218017578,19.4208927154541,,,-0.1,-0.25,,,-0.2168963922061029,-0.18971035458667007,,,-0.2033033733963865
tnc_price,high,18.431459426879883,18.455196380615234,18.37921905517578,18.3671817779541,18.495023727416992,0.5,0.25,-0.25,-0.5,0.0025756998602872727,-0.011337218718104669,0.013949551674034222,-0.006897370312890949,-0.00042733437416853093
tnc_price,low,17.18309211730957,17.20894432067871,17.145870208740234,17.061479568481445,17.205371856689453,0.5,0.25,-0.25,-0.5,0.00300902808326331,-0.008664775423473436,0.028309817115073965,-0.0025932165442377197,0.00501521330765653
tnc_price,middle,18.541513442993164,18.56781005859375,18.496679306030273,18.40924644470215,18.617162704467773,0.5,0.25,-0.25,-0.5,0.0028365123139959536,-0.009672163407962397,0.028534239925489757,-0.008159987770922417,0.003384650265150224
share_tnc_price,high,18.431459426879883,18.528791427612305,18.187715530395508,18.524667739868164,18.456754684448242,0.5,0.25,-0.25,-0.5,0.010561507743708454,-0.0528973622411919,-0.02022809172720219,-0.00274479160684038,-0.016327184457881505
share_tnc_price,low,17.18309211730957,17.300172805786133,17.073165893554688,17.197629928588867,17.19999122619629,0.5,0.25,-0.25,-0.5,0.01362742953098861,-0.025589392876302686,-0.003384213081102594,-0.001966946201690245,-0.0043282806570267285
share_tnc_price,middle,18.541513442993164,18.61406135559082,18.414478302001953,18.627431869506836,18.54436683654785,0.5,0.25,-0.25,-0.5,0.007825457487136589,-0.02740556025953067,-0.018535364284653966,-0.00030778432013756074,-0.009605812844296402
operating_cost,high,18.431459426879883,17.688018798828125,18.14212989807129,18.47640037536621,18.78325080871582,1.0,0.5,-0.25,-0.5,-0.04033541841876864,-0.03139518386554285,-0.009753096039869291,-0.0381729274593301,-0.02991415644587772
operating_cost,low,17.18309211730957,16.84599494934082,16.943771362304688,17.25592803955078,17.541025161743164,1.0,0.5,-0.25,-0.5,-0.01961795733080962,-0.027855377061477782,-0.016955253860936992,-0.04166107496717952,-0.02652241580510098
operating_cost,middle,18.541513442993164,17.9840030670166,18.227449417114258,18.620697021484375,18.92726707458496,1.0,0.5,-0.25,-0.5,-0.030068223809812333,-0.0338768490333341,-0.017082441244004265,-0.0416097243386111,-0.03065930960644045
cordon_pricing,high,18.431459426879883,18.481752395629883,18.448701858520508,18.47873306274414,18.41341781616211,0.25,0.1,-0.25,-0.5,0.010914592835042924,0.009354892220569955,-0.010259336446318379,0.0019576974671318137,0.0029919615191065785
cordon_pricing,low,17.18309211730957,17.230985641479492,17.160940170288086,17.21060562133789,17.1595516204834,0.25,0.1,-0.25,-0.5,0.011148988515675917,-0.01289171173049164,-0.006404785318145478,0.002739960499013705,-0.001351887008486874
cordon_pricing,middle,18.541513442993164,18.598464965820312,18.499881744384766,18.555973052978516,18.50997543334961,0.25,0.1,-0.25,-0.5,0.012286272747313198,-0.02245323648277009,-0.0031194023141223326,0.003401880837885285,-0.0024711213029234846
park_ride,high,18.431459426879883,18.497108459472656,18.369434356689453,18.457908630371094,18.483856201171875,0.5,0.25,-0.25,-0.5,0.007123584852649412,-0.01346069646551662,-0.00574001285055914,-0.0056855806237003925,-0.004440676271781685
park_ride,low,17.18309211730957,17.235727310180664,17.136661529541016,17.183067321777344,17.215633392333984,0.5,0.25,-0.25,-0.5,0.006126393609689362,-0.010808435979175801,5.772076889787314e-06,-0.0037875924545192063,-0.0021159656867789645
park_ride,middle,18.541513442993164,18.609386444091797,18.49873924255371,18.545751571655273,18.579818725585938,0.5,0.25,-0.25,-0.5,0.007321193203274401,-0.009227768935036629,-0.0009143004804093025,-0.004131839907302481,-0.001738179029868503
telecommute_option,high,18.431459426879883,18.343713760375977,18.272647857666016,18.634273529052734,18.70456314086914,0.5,0.25,-0.25,-0.5,-0.009521293400775566,-0.03446532703368277,-0.04401476789777625,-0.02963451864164046,-0.029408976743468762
telecommute_option,low,17.18309211730957,17.18317222595215,17.13511085510254,17.260723114013672,17.27324104309082,0.5,0.25,-0.25,-0.5,9.324124206511186e-06,-0.011169412787747746,-0.01807148473024789,-0.010492747773893196,-0.00993108029192058
telecommute_option,middle,18.541513442993164,18.511720657348633,18.446781158447266,18.684295654296875,18.69532585144043,0.5,0.25,-0.25,-0.5,-0.003213630401437406,-0.020436796561868142,-0.03080270911923133,-0.016591138465602562,-0.01776106863703486
telecommute_frequency,high,18.431459426879883,18.505578994750977,18.534069061279297,18.40418243408203,18.220916748046875,-1.0,-0.5,2.0,3.0,-0.004021361854992245,-0.011134184442255446,-0.0007399574869820791,-0.0038076687970777976,-0.0049257931453268915
telecommute_frequency,low,17.18309211730957,17.130409240722656,17.23139190673828,17.199018478393555,17.059398651123047,-1.0,-0.5,2.0,3.0,0.0030659718418108994,-0.005621780887743011,0.0004634311733666685,-0.0023995189639921164,-0.00112297420913939
telecommute_frequency,middle,18.541513442993164,18.545757293701172,18.601530075073242,18.54187774658203,18.373973846435547,-1.0,-0.5,2.0,3.0,-0.00022888372737517315,-0.006473757631986654,9.82399818616475e-06,-0.0030119726934683864,-0.0024261975136610123
av_rates,high,18.431459426879883,18.59150505065918,18.44147300720215,18.4339656829834,18.491619110107422,0.05,0.1,0.25,0.5,0.1736657093424654,0.005432874353759054,0.0005439083353024898,0.006527934856835671,0.04654260672209065
av_rates,low,17.18309211730957,17.245420455932617,17.114669799804688,17.220720291137695,17.299015045166016,0.05,0.1,0.25,0.5,0.0725461263869498,-0.03981956043636492,0.008759348683283541,0.013492673735906902,0.013744647092443829
av_rates,middle,18.541513442993164,18.629125595092773,18.489381790161133,18.55831527709961,18.605045318603516,0.05,0.1,0.25,0.5,0.09450377647863384,-0.02811617993984883,0.0036246952888943085,0.006852933101246794,0.019216306232231528
av_vot,high,18.4339656829834,18.32672691345215,18.410255432128906,,18.456661224365234,-0.1,-0.2,,-0.6,0.058174552006594604,0.006431131331762208,,-0.002051967707522584,0.02085123854361141
av_vot,low,17.220720291137695,17.05823516845703,17.17226791381836,,17.255643844604492,-0.1,-0.2,,-0.6,0.09435442881229772,0.014068046080590313,,-0.003379993488112909,0.03501416046825837
av_vot,middle,18.55831527709961,18.428133010864258,18.536605834960938,,18.558467864990234,-0.1,-0.2,,-0.6,0.07014767466311578,0.005848979773896978,,-1.3703461076245798e-05,0.02532765032531217
tod,high,18.203527450561523,18.06155776977539,18.160490036010742,18.11602783203125,,0.1,0.25,0.5,,-0.07799020336674012,-0.009456939522884511,-0.009613479449838591,,-0.032353540779821076
tod,low,16.96445655822754,16.838436126708984,16.871301651000977,16.834535598754883,,0.1,0.25,0.5,,-0.07428497994380834,-0.021964725343679437,-0.015316843074427489,,-0.03718884945397175
tod,middle,18.319719314575195,18.18185043334961,18.22673988342285,18.17812728881836,,0.1,0.25,0.5,,-0.07525709256685942,-0.02030149688557037,-0.015457881567452203,,-0.037005490339960666
