policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,Bike,11.625481605529785,11.69835376739502,11.599218368530273,11.839813232421875,11.817728042602539,2.0,1.0,-0.25,-0.5,0.0031341566886387007,-0.0022591095913840897,-0.07374546162118278,-0.03307328566608536,-0.026485925047503384
transit_frequency,Drive Alone,18.829435348510742,18.934612274169922,18.795333862304688,18.771595001220703,18.835988998413086,2.0,1.0,-0.25,-0.5,0.0027928858118281275,-0.0018110732252388795,0.012287218648776577,-0.0006961068965738448,0.003143231084697995
transit_frequency,Public Transit,28.349292755126953,30.60747528076172,29.59864044189453,27.389877319335938,26.72771644592285,2.0,1.0,-0.25,-0.5,0.039827845885615165,0.044069800878599796,0.13537063433337426,0.1143997716776084,0.0834170131937994
transit_frequency,Shared Ride,16.482398986816406,16.643280029296875,16.389415740966797,16.438322067260742,16.5031795501709,2.0,1.0,-0.25,-0.5,0.0048803891535798005,-0.00564136603682408,0.010696724327792229,-0.0025215459680492103,0.0018535503691246846
transit_frequency,TNC - Pooled,13.914337158203125,14.045892715454102,13.959428787231445,13.840542793273926,13.898151397705078,2.0,1.0,-0.25,-0.5,0.0047273382754499105,0.0032406595093705803,0.02121390737917972,0.0023264867473049566,0.007877097977826292
transit_frequency,TNC - Ride Alone,11.443251609802246,11.416032791137695,11.393898963928223,11.31801986694336,11.375551223754883,2.0,1.0,-0.25,-0.5,-0.0011892956474554572,-0.004312816632621064,0.04377488047247491,0.01183236869306814,0.012526284221366632
transit_frequency,Walk,13.958403587341309,14.313065528869629,14.737027168273926,14.662507057189941,14.650117874145508,2.0,1.0,-0.25,-0.5,0.012704244411229082,0.055781707131518976,-0.20177191910031134,-0.0991108019589726,-0.05809919237913397
transit_price,Bike,11.625481605529785,11.67951774597168,11.681961059570312,11.720046043395996,11.789647102355957,0.5,-0.25,-0.5,-1.0,0.009296155165940068,-0.019432985559467042,-0.016268476623150008,-0.014121178149564484,-0.010131621291560367
transit_price,Drive Alone,18.829435348510742,18.851675033569336,18.794370651245117,18.825014114379883,18.803022384643555,0.5,-0.25,-0.5,-1.0,0.002362225382436023,0.0074489110515783,0.000469608785290454,0.0014027485890211189,0.002920873452081474
transit_price,Public Transit,28.349292755126953,28.256492614746094,28.3242244720459,28.37958526611328,28.492408752441406,0.5,-0.25,-0.5,-1.0,-0.0065469104419950686,0.003537059396519826,-0.0021370911259048775,-0.0050483092665007945,-0.0025488128594702286
transit_price,Shared Ride,16.482398986816406,16.472675323486328,16.436941146850586,16.456144332885742,16.437530517578125,0.5,-0.25,-0.5,-1.0,-0.0011798844740811276,0.011031850400461618,0.0031857806562822777,0.00272220501846665,0.003939987900282355
transit_price,TNC - Pooled,13.914337158203125,13.971501350402832,13.87527084350586,13.94565486907959,13.891064643859863,0.5,-0.25,-0.5,-1.0,0.008216588623628063,0.011230521225147783,-0.00450150237418967,0.0016725564486944622,0.0041545409808201594
transit_price,TNC - Ride Alone,11.443251609802246,11.382085800170898,11.359683990478516,11.384427070617676,11.36594009399414,0.5,-0.25,-0.5,-1.0,-0.010690284845078946,0.029211144584865067,0.01028108813655404,0.006756079342158383,0.008889506804624636
transit_price,Walk,13.958403587341309,14.418854713439941,13.986720085144043,14.276166915893555,14.696853637695312,0.5,-0.25,-0.5,-1.0,0.0659747546655276,-0.008114537633347574,-0.045530038813381246,-0.05290361793405185,-0.010143359928813267
transit_speed,Bike,11.625481605529785,11.650458335876465,11.610733985900879,,,-0.1,-0.25,,,-0.02148446937011217,0.005074239546993375,,,-0.008205114911559397
transit_speed,Drive Alone,18.829435348510742,19.178298950195312,19.62259864807129,,,-0.1,-0.25,,,-0.1852756576219705,-0.1684943355719435,,,-0.176884996596957
transit_speed,Public Transit,28.349292755126953,28.72091293334961,29.618450164794922,,,-0.1,-0.25,,,-0.13108622547751247,-0.17907429587476287,,,-0.15508026067613767
transit_speed,Shared Ride,16.482398986816406,16.839765548706055,17.208314895629883,,,-0.1,-0.25,,,-0.2168170799502489,-0.17616753711498134,,,-0.19649230853261512
transit_speed,TNC - Pooled,13.914337158203125,14.323002815246582,14.755587577819824,,,-0.1,-0.25,,,-0.2937011317154492,-0.24183700884975146,,,-0.26776907028260033
transit_speed,TNC - Ride Alone,11.443251609802246,11.46765422821045,11.606078147888184,,,-0.1,-0.25,,,-0.02132489893633016,-0.05691617859611231,,,-0.039120538766221236
transit_speed,Walk,13.958403587341309,14.36777114868164,14.50487232208252,,,-0.1,-0.25,,,-0.293276776802458,-0.15659920744426525,,,-0.22493799212336163
tnc_price,Bike,11.625481605529785,11.717659950256348,11.623624801635742,11.60923957824707,11.634947776794434,0.5,0.25,-0.25,-0.5,0.01585798298157659,-0.0006388737970768332,0.005588423029283973,-0.0016285211375923758,0.004794752769047839
tnc_price,Drive Alone,18.829435348510742,18.74518394470215,18.70709228515625,18.811735153198242,19.024883270263672,0.5,0.25,-0.25,-0.5,-0.0089489039102022,-0.025989746604731412,0.0037601117579768584,-0.02075982823015332,-0.012984591746777518
tnc_price,Public Transit,28.349292755126953,28.360071182250977,28.28627586364746,28.181472778320312,28.12395668029785,0.5,0.25,-0.25,-0.5,0.0007604018355675812,-0.008891493981710852,0.023678894321099708,0.015897121439712114,0.007861230903667138
tnc_price,Shared Ride,16.482398986816406,16.42934226989746,16.354419708251953,16.35546875,16.568269729614258,0.5,0.25,-0.25,-0.5,-0.0064379847813880176,-0.031058410530364622,0.03080382580665164,-0.01041968986026065,-0.004278064841340412
tnc_price,TNC - Pooled,13.914337158203125,13.622663497924805,13.731520652770996,13.743515014648438,12.265859603881836,0.5,0.25,-0.25,-0.5,-0.0419241904177039,-0.05255485859040032,0.04910680016230007,0.23694661636820236,0.04789359188059955
tnc_price,TNC - Ride Alone,11.443251609802246,10.781400680541992,10.927505493164062,11.956889152526855,12.89215087890625,0.5,0.25,-0.25,-0.5,-0.11567532583017126,-0.18027956885834717,-0.17954251474629057,-0.25323209145604775,-0.1821823752227142
tnc_price,Walk,13.958403587341309,14.332135200500488,14.298774719238281,14.033547401428223,14.373156547546387,0.5,0.25,-0.25,-0.5,0.0535493347531677,0.0975386991118814,-0.021533641327024178,-0.05942699071707791,0.017531850455236753
share_tnc_price,Bike,11.625481605529785,11.727923393249512,11.661189079284668,11.71014404296875,11.736637115478516,0.5,0.25,-0.25,-0.5,0.017623663465434092,0.01228593359535246,-0.02912995446096378,-0.019122736368333726,-0.0045857734421277385
share_tnc_price,Drive Alone,18.829435348510742,18.82262420654297,18.716564178466797,18.898052215576172,18.8222599029541,0.5,0.25,-0.25,-0.5,-0.0007234568473994951,-0.023977600592866022,-0.014576510829010125,0.0007621519630123252,-0.00962885407656583
share_tnc_price,Public Transit,28.349292755126953,28.290651321411133,28.18747901916504,28.327091217041016,28.31945037841797,0.5,0.25,-0.25,-0.5,-0.0041370650211522975,-0.022831431790502066,0.003132570294110515,0.002105334829108685,-0.005432647922108791
share_tnc_price,Shared Ride,16.482398986816406,16.49439239501953,16.327980041503906,16.543054580688477,16.395299911499023,0.5,0.25,-0.25,-0.5,0.0014552988570071257,-0.03747487133056637,-0.014720088725090896,0.010568737643961823,-0.01004273088867208
share_tnc_price,TNC - Pooled,13.914337158203125,13.477755546569824,13.724061965942383,14.248632431030273,14.518962860107422,0.5,0.25,-0.25,-0.5,-0.06275277171588689,-0.05469903168145285,-0.09610095515906547,-0.08690686376646317,-0.0751149055807171
share_tnc_price,TNC - Ride Alone,11.443251609802246,11.551470756530762,11.438928604125977,11.303360939025879,11.182694435119629,0.5,0.25,-0.25,-0.5,0.018914055273557828,-0.0015111109407284218,0.04889892332928758,0.045539009988983414,0.0279602194127751
share_tnc_price,Walk,13.958403587341309,14.771661758422852,13.692330360412598,14.060450553894043,14.491347312927246,0.5,0.25,-0.25,-0.5,0.1165259574266897,-0.07624746634207069,-0.029243162633664,-0.07636170171627032,-0.01633159331632883
operating_cost,Bike,11.625481605529785,11.942294120788574,11.773073196411133,11.454917907714844,11.38599681854248,1.0,0.5,-0.25,-0.5,0.027251560495187954,0.025391049745611127,0.05868615291905366,0.041199976932291715,0.038132185023036114
operating_cost,Drive Alone,18.829435348510742,17.750886917114258,18.237056732177734,19.00846290588379,19.417041778564453,1.0,0.5,-0.25,-0.5,-0.05727991367950336,-0.06292048650092519,-0.038031423472761006,-0.062413600745620634,-0.055161356099702546
