policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1.8892779495414518,1.8894322761612297,1.8894124639600418,1.8895143056257961,1.889378748459775,2.0,1.0,-0.25,-0.5,4.0842751543035405e-05,7.1198850662757e-05,-0.0005004156945815907,-0.00010670628781506153,-0.00012377009504771497
transit_price,none,1.8892779495414518,1.889442356053062,1.8894367947334303,1.8894374898983843,1.889485456280207,0.5,-0.25,-0.5,-1.0,0.00017404163495404745,-0.0003363087829759692,-0.0001688902969214645,-0.00010983388590624088,-0.00011024783271240679
transit_speed,none,1.8892779495414518,1.88947016265122,1.8895389839816616,,,-0.1,-0.25,,,-0.001017389261410706,-0.0005526649803400119,,,-0.000785027120875359
tnc_price,none,1.8892779495414518,1.8893113174592415,1.8894204583570124,1.8892887245982382,1.8893339103202451,0.5,0.25,-0.25,-0.5,3.53234607941566e-05,0.0003017212276157366,-2.2813068429883288e-05,-5.924038737337156e-05,6.374780815165959e-05
share_tnc_price,none,1.8892779495414518,1.8895351605744148,1.889154905344602,1.8894281051715058,1.8894906700173617,0.5,0.25,-0.25,-0.5,0.00027228501028719876,-0.00026051052335551717,-0.00031791114714607716,-0.00022518706256180465,-0.00013283093069405005
operating_cost,none,1.8892779495414518,1.8888910902445764,1.8892212935977046,1.8893898710990384,1.8895358557393687,1.0,0.5,-0.25,-0.5,-0.00020476568679017593,-5.997629280640737e-05,-0.00023696154949348625,-0.00027302091572023457,-0.00019368111120257603
cordon_pricing,none,1.8892779495414518,1.8894611255068188,1.8893766629649134,1.889363802413265,1.8893432950471234,0.25,0.1,-0.25,-0.5,0.00038782216330091046,0.00052249285757755,-0.0001817686420020337,-6.91751107213534e-05,0.00016484281703876835
park_ride,none,1.8892779495414518,1.8893797912072061,1.8893759677999593,1.8894044695630714,1.889336343397584,0.5,0.25,-0.25,-0.5,0.00010781014596528138,0.0002075253321649484,-0.0002678695776880957,-6.181605638966303e-05,-3.587538986882244e-06
telecommute_option,none,1.8892779495414518,1.8894472222077396,1.8894698150687432,1.8894844135327762,1.8893884807691306,0.5,0.25,-0.25,-0.5,0.0001791929729861863,0.00040621979913080253,-0.000437127827325412,-0.00011700896388022741,7.818995227837355e-06
telecommute_frequency,none,1.8892779495414518,1.8892859439384222,1.8894333189086605,1.889367973402989,1.889289767345669,-1.0,-0.5,2.0,3.0,-4.2314562409551115e-06,-0.00016447486432191738,2.3824938400140994e-05,2.0850653941195674e-06,-3.569907919215298e-05
av_rates,none,1.8892779495414518,1.8894305382488448,1.8892696075620043,1.8893175739438273,1.8893147932840113,0.05,0.1,0.25,0.5,0.0016153124258933005,-4.415432599214064e-05,8.389321938562233e-05,3.9002987959779745e-05,0.0004235135768116405
av_vot,none,1.8893175739438273,1.8893714492277587,1.889322440098505,,1.8892567470103563,-0.1,-0.2,,-0.6,-0.00028515737467538216,-1.28780749852897e-05,,5.3658645772225455e-05,-8.145893462948213e-05
tod,none,1.8799008652651215,1.8800762306581338,1.8807764004040832,1.8811981816255823,,0.1,0.25,0.5,,0.0009328438336964062,0.0018629389562798693,0.001380196567203562,,0.001391993119059946
