policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,534.0309003672656,525.3085357044102,525.2593280539453,540.685792780573,546.2509638610915,2.0,1.0,-0.25,-0.5,-0.008166535547715348,-0.0164252149216233,-0.04984649696285892,-0.0457653798138713,-0.030050906811517217
transit_price,none,534.0309003672656,537.9595569847655,532.4963485458292,534.7115214360813,537.4003575516898,0.5,-0.25,-0.5,-1.0,0.014713218335486111,0.011494105081792938,-0.0025489950800507977,-0.006309479811200003,0.004337212131507062
transit_speed,none,534.0309003672656,467.4640977111095,356.0363904073983,,,-0.1,-0.25,,,1.2464972085019155,1.3332150618060217,,,1.2898561351539686
tnc_price,none,534.0309003672656,567.7945788933868,550.4859419473071,497.4022070991096,464.4754984473523,0.5,0.25,-0.25,-0.5,0.1264484077715391,0.12325160636753374,0.27435635835278926,0.2604920497000396,0.19613710554797542
share_tnc_price,none,534.0309003672656,549.8229801922583,529.5330174663325,530.9810030557347,522.544159090213,0.5,0.25,-0.25,-0.5,0.059142944028640176,-0.03369005724455176,0.022844350837627037,0.04301901357825133,0.022829062799991695
operating_cost,none,534.0309003672656,758.7098994799067,654.3830878737933,457.5496628561504,387.92701059935956,1.0,0.5,-0.25,-0.5,0.42072284386188885,0.45073117463337287,0.5728600158419095,0.5471739169678271,0.4978719878262496
cordon_pricing,none,534.0309003672656,536.707874069067,532.6410496036821,535.4387827538114,535.0802116477889,0.25,0.1,-0.25,-0.5,0.020051077193924627,-0.026025661860160643,-0.010545325265467476,-0.003929777396033174,-0.005112421831934166
park_ride,none,534.0309003672656,537.8033482576623,533.2966210119823,533.5415603976554,540.4328829974521,0.5,0.25,-0.25,-0.5,0.014128200775656463,-0.005499901633245319,0.0036652558439871363,-0.023976075638258543,-0.0029206301629650655
telecommute_option,none,534.0309003672656,494.9969475629089,512.0604651719822,561.3497282844143,584.5148840744585,0.5,0.25,-0.25,-0.5,-0.14618612060655,-0.16456302569887926,-0.20462357439137513,-0.1890676501021713,-0.17611009269974393
telecommute_frequency,none,534.0309003672656,551.7785435196063,548.6688434529653,519.9233274978081,490.3322799331498,-1.0,-0.5,2.0,3.0,-0.03323336372508634,-0.05482058463520678,-0.013208573567330462,-0.027275962498339374,-0.03213462110649074
av_rates,none,534.0309003672656,543.4629417509021,529.4182051155883,525.0971222459525,517.3612555350026,0.05,0.1,0.25,0.5,0.3532395364069707,-0.08637506272586637,-0.06691581416108461,-0.062429514175299516,0.03437978633618005
av_vot,none,525.0971222459525,524.4824385247124,529.2467260140153,,508.07500146290556,-0.1,-0.2,,-0.6,0.011706095790641191,-0.03951272623923363,,0.054028483690279724,0.008740617747229095
tod,none,520.3519248092861,511.5615059014592,515.2589614676547,511.5149785707898,,0.1,0.25,0.5,,-0.16893218778903596,-0.03915014511379411,-0.03396526780115239,,-0.08068253356799415
