policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,hispanic,575.948459145954,564.9756284449048,559.1666127079067,577.4652438698517,583.2097314878781,2.0,1.0,-0.25,-0.5,-0.009525879032058038,-0.029137757331502034,-0.010534169853649189,-0.025215007442477066,-0.018603203414921582
transit_frequency,non_hispanic,522.0599582161891,513.9781531881717,515.5762503851502,530.1808573438816,535.6981216088132,2.0,1.0,-0.25,-0.5,-0.007740303485093747,-0.012419469696915542,-0.06222196512017941,-0.05224749831120512,-0.033657309153348455
transit_price,hispanic,575.948459145954,570.7574379139642,568.2752322595878,572.4318334282063,577.9325057520173,0.5,-0.25,-0.5,-1.0,-0.018025992255235046,0.053291066341209614,0.012211598666180157,-0.0034448336036967397,0.011007959787114496
transit_price,non_hispanic,522.0599582161891,528.5922332971951,522.2779216112195,523.9396844998162,525.8224086730883,0.5,-0.25,-0.5,-1.0,0.025024999440010465,-0.0016700257631336868,-0.007201189265883645,-0.007206931689905716,0.0022367131802718543
transit_speed,hispanic,575.948459145954,516.0630939910155,427.0186152693055,,,-0.1,-0.25,,,1.0397695176359967,1.0343275792246365,,,1.0370485484303167
transit_speed,non_hispanic,522.0599582161891,453.58216011049706,335.7598437411633,,,-0.1,-0.25,,,1.3116845494083051,1.4274231267350137,,,1.3695538380716594
tnc_price,hispanic,575.948459145954,596.334287738887,584.3390488706162,539.0621301625308,520.9687411887202,0.5,0.25,-0.25,-0.5,0.07079046143525503,0.05827319852268875,0.2561779853573709,0.19091888200815932,0.1440401318308685
tnc_price,non_hispanic,522.0599582161891,559.6413114764275,540.8151693135402,485.50028355136374,448.3375183034754,0.5,0.25,-0.25,-0.5,0.1439733221013504,0.14370158677892242,0.28011858859848227,0.2824290151062865,0.2125556281462604
share_tnc_price,hispanic,575.948459145954,585.4442830662491,571.4796549350193,566.0238541183168,567.8185145037122,0.5,0.25,-0.25,-0.5,0.03297456141952715,-0.031036139709870625,0.06892703588341176,0.028231500625237382,0.024774239554576416
share_tnc_price,non_hispanic,522.0599582161891,539.6487022860927,517.5503346551346,520.9736072357545,509.6123315525894,0.5,0.25,-0.25,-0.5,0.06738208434909287,-0.03455253359375243,0.00832357251949789,0.04768657878352367,0.0222099255145905
operating_cost,hispanic,575.948459145954,771.2356469428793,671.5834166789086,509.39867566733045,450.69839355052136,1.0,0.5,-0.25,-0.5,0.3390705968490777,0.3320955408918609,0.4621926314539113,0.43493497935964576,0.3920734371386239
operating_cost,non_hispanic,522.0599582161891,755.1325026797447,649.4689365758978,442.7396776256389,369.9986637227455,1.0,0.5,-0.25,-0.5,0.4464478472165039,0.4881009407235468,0.6077484345788733,0.5825434113469159,0.5312101584664599
cordon_pricing,hispanic,575.948459145954,575.6989580080739,568.3809099416775,571.7771882014679,574.297699292654,0.25,0.1,-0.25,-0.5,-0.0017328018430680103,-0.13139281968907457,0.028969751568892033,0.005732317977715562,-0.024605887996383746
cordon_pricing,non_hispanic,522.0599582161891,525.5727256250368,522.4334786636838,525.0611573801668,523.8788538541611,0.25,0.1,-0.25,-0.5,0.026914666436785417,0.007154742316781704,-0.02299505347418318,-0.006968148425659404,0.0010265517134311342
park_ride,hispanic,575.948459145954,572.8797187576138,569.9467662640889,572.8224554829393,575.5138946664379,0.5,0.25,-0.25,-0.5,-0.010656302103458026,-0.041682152536806516,0.021710301422805056,0.0015090394725962852,-0.0072797784362158
park_ride,non_hispanic,522.0599582161891,527.7848059150392,522.827432402813,522.3209262117108,530.4140022807662,0.5,0.25,-0.25,-0.5,0.021931763234289026,0.005880352818064871,-0.0019995250845390444,-0.032004155588265526,-0.0015478911551126684
telecommute_option,hispanic,575.948459145954,546.4600050764168,556.2408638102311,589.9925706195501,603.8074252959192,0.5,0.25,-0.25,-0.5,-0.1023996283044637,-0.13687054820805544,-0.09753727959909053,-0.09674117781745917,-0.10838715848226721
telecommute_option,non_hispanic,522.0599582161891,480.29743061508566,499.4412174270713,553.1689133605925,579.003677567879,0.5,0.25,-0.25,-0.5,-0.15999130729658173,-0.17330377810551179,-0.2383554199460045,-0.21815011266621243,-0.1974501545035776
telecommute_frequency,hispanic,575.948459145954,579.2998018875716,582.5676997874621,561.9641466093776,542.0008563420903,-1.0,-0.5,2.0,3.0,-0.005818824043017923,-0.022985531209939847,-0.012140246505141283,-0.01964736153312685,-0.015147990822806476
telecommute_frequency,non_hispanic,522.0599582161891,543.9191811545389,538.9862696304406,507.91181291561526,475.57437351775496,-1.0,-0.5,2.0,3.0,-0.04187109659403854,-0.06484431969111926,-0.013550306892829156,-0.02968087219794276,-0.03748664884398243
av_rates,hispanic,575.948459145954,574.1448257005445,562.9856281741019,553.1949626911519,529.9792983023281,0.05,0.1,0.25,0.5,-0.06263176562999906,-0.22506928816293792,-0.15802453218499535,-0.1596294255628059,-0.15133875288518456
av_rates,non_hispanic,522.0599582161891,534.7004525539211,519.8282777376536,517.0710041219918,513.7569522548262,0.05,0.1,0.25,0.5,0.484254505207522,-0.04274758949452617,-0.03822514265406518,-0.031808629758670826,0.09286828582506496
av_vot,hispanic,553.1949626911519,557.337952601108,561.5767325963575,,529.5251670489013,-0.1,-0.2,,-0.6,-0.07489203968527702,-0.07575782925092533,,0.07131239809530898,-0.026445823613631125
av_vot,non_hispanic,517.0710041219918,515.0988190172421,520.0102943005261,,501.94659777169704,-0.1,-0.2,,-0.6,0.03814147552324121,-0.02842250053767148,,0.04875025618572652,0.019489743723765416
tod,hispanic,565.0670182885265,551.0740438245899,559.3724345572197,553.787200218094,,0.1,0.25,0.5,,-0.24763389139784597,-0.040310855505632404,-0.03992382391949456,,-0.10928952360765765
tod,non_hispanic,507.5784398133881,500.280273734029,502.66128967454284,499.44234967004206,,0.1,0.25,0.5,,-0.14378400473515573,-0.038749873935961965,-0.032058454438440354,,-0.07153077770318601
