policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,600.9563702690054,591.5482725880887,595.6692072807393,612.6914530803358,617.2982418348442,2.0,1.0,-0.25,-0.5,-0.007827604586923165,-0.008797914873419854,-0.07810938292293912,-0.05438621628563034,-0.03728027966722812
transit_frequency,low,451.99136522229793,442.0438726861035,441.874726745837,456.5822713334718,463.40925357402483,2.0,1.0,-0.25,-0.5,-0.011004073641210033,-0.022382371113406907,-0.04062826385115503,-0.050522595032811424,-0.03113432590964585
transit_frequency,middle,603.699493944316,597.4900778981284,594.022974354221,609.2046978842083,613.5852453537877,2.0,1.0,-0.25,-0.5,-0.005142803752921754,-0.01602870250374533,-0.03647645224231422,-0.03275057046969643,-0.022599632242169432
transit_price,high,600.9563702690054,610.88261321065,606.8995118786439,604.533016451252,606.1588892162484,0.5,-0.25,-0.5,-1.0,0.033034820605034376,-0.03955789074656568,-0.011903180860352691,-0.008657065977874856,-0.006770829244939713
transit_price,low,451.99136522229793,452.55295859167074,448.3502243733133,450.68883737913296,454.67305737105926,0.5,-0.25,-0.5,-1.0,0.002484973884829156,0.032223100962947004,0.005763507639241494,-0.005933060573939164,0.008634630478269623
transit_price,middle,603.699493944316,607.6690695392165,598.9395518978326,604.9407419334458,606.565735345469,0.5,-0.25,-0.5,-1.0,0.01315083293830499,0.0315384862450947,-0.004112138577490043,-0.004747794937554284,0.00895734641708884
transit_speed,high,600.9563702690054,518.9990851887692,373.98735759473624,,,-0.1,-0.25,,,1.363780952077267,1.5107187403482971,,,1.437249846212782
transit_speed,low,451.99136522229793,403.57576809498147,323.8052180534698,,,-0.1,-0.25,,,1.0711619922983429,1.1344123541456042,,,1.1027871732219734
transit_speed,middle,603.699493944316,522.2351189686711,390.6239557493962,,,-0.1,-0.25,,,1.3494193020337197,1.4117986868120416,,,1.3806089944228805
tnc_price,high,600.9563702690054,643.8217690052362,621.7731167625896,563.8845723702602,519.1285081876922,0.5,0.25,-0.25,-0.5,0.1426572738285241,0.13855745623773608,0.24675200884983273,0.2723254669708708,0.20007305147174093
tnc_price,low,451.99136522229793,477.90968853189753,465.1284054899077,421.2359790421819,392.27673165228424,0.5,0.25,-0.25,-0.5,0.1146850373871744,0.11625921447546883,0.2721767586421917,0.2642290900431026,0.19183752513698438
tnc_price,middle,603.699493944316,641.8107479484959,621.5382930364824,558.3450967669321,529.4661796255924,0.5,0.25,-0.25,-0.5,0.12625902253181343,0.1181965482569165,0.3005097578005742,0.24592803228544935,0.19772334021868837
share_tnc_price,high,600.9563702690054,622.0536055506487,591.4275537219438,602.6675541530183,592.4038544350133,0.5,0.25,-0.25,-0.5,0.07021220283329255,-0.06342434837854372,-0.011389737882281814,0.02846301747384361,0.005965283511577657
share_tnc_price,low,451.99136522229793,467.02703927683524,450.14598298277406,443.9677095017251,440.0709501920165,0.5,0.25,-0.25,-0.5,0.06653080218531393,-0.01633112826052585,0.07100715932152069,0.052746206885694535,0.043488260033000825
share_tnc_price,middle,603.699493944316,616.0840834999603,599.4495797109951,604.2451245406947,590.3450216304149,0.5,0.25,-0.25,-0.5,0.04102898769958774,-0.02815913729232289,-0.003615246339292,0.04424211862974636,0.013374180674429803
operating_cost,high,600.9563702690054,858.7482311820105,747.234393769071,507.4054574478287,428.41196775242474,1.0,0.5,-0.25,-0.5,0.42896934564086564,0.4868174487761472,0.6226802307082666,0.5742327099031992,0.5281749337571197
operating_cost,low,451.99136522229793,632.0639430063289,545.9583250318487,393.2139200093288,334.4517423713863,1.0,0.5,-0.25,-0.5,0.39839826961178315,0.4157909510653419,0.5201643193697851,0.5200967624375012,0.46361257562110286
operating_cost,middle,603.699493944316,869.0738078000962,742.6577274240994,514.4611213973219,436.04934278247356,1.0,0.5,-0.25,-0.5,0.43958014959054736,0.4603556400946749,0.5912767755622821,0.555409281748731,0.5116554617490588
cordon_pricing,high,600.9563702690054,604.6588715380186,599.6753111025055,605.8381989814374,600.3728162437642,0.25,0.1,-0.25,-0.5,0.02464406038232614,-0.02131700785410695,-0.03249373135188982,0.0019420844976816287,-0.006806148581497251
cordon_pricing,low,451.99136522229793,454.6807580484152,451.2997326422841,452.11792724910316,452.66638990872985,0.25,0.1,-0.25,-0.5,0.023800391184859215,-0.015301898072183073,-0.0011200393329904301,-0.0029868919557785034,0.0010978904559768021
cordon_pricing,middle,603.699493944316,605.4532301396954,601.1361604964305,604.1102964177387,606.7493504855723,0.25,0.1,-0.25,-0.5,0.01161992821243718,-0.04246042068277611,-0.0027219003994103375,-0.010103889673088506,-0.010916570635709444
park_ride,high,600.9563702690054,607.5020553699915,603.4895293979649,603.0697315940259,613.7513443648554,0.5,0.25,-0.25,-0.5,0.021784227357656505,0.01686085216353117,-0.014066653950765229,-0.042582039991097886,-0.00450090360516886
park_ride,low,451.99136522229793,454.10656478806817,451.0422595156442,450.31270934895656,454.5498115542672,0.5,0.25,-0.25,-0.5,0.009359468912553126,-0.008399326002052288,0.014855645505668313,-0.01132077525733699,0.0011237532897080404
park_ride,middle,603.699493944316,607.651073934661,600.4803956825328,602.8079043840798,610.5479434667924,0.5,0.25,-0.25,-0.5,0.013091215182331695,-0.02132914335078162,0.0059075057652338,-0.02268827319278177,-0.006254673898999474
telecommute_option,high,600.9563702690054,523.0857388147879,555.8839751475042,655.9206975861225,699.5515206168893,0.5,0.25,-0.25,-0.5,-0.259155690185497,-0.30000444192862474,-0.36584570884913603,-0.3281274822122273,-0.3132833307938713
telecommute_option,low,451.99136522229793,435.7111901333041,444.3000519933624,462.0977734694451,473.884673885236,0.5,0.25,-0.25,-0.5,-0.07203754912878435,-0.06806601913868704,-0.08943894972132149,-0.0968748978298315,-0.0816043539546561
telecommute_option,middle,603.699493944316,562.8720934647365,579.4898365865804,633.8932432908601,657.0656372435789,0.5,0.25,-0.25,-0.5,-0.13525736194619165,-0.16040866424823408,-0.20005813918624327,-0.1767970450019467,-0.16813030259565392
telecommute_frequency,high,600.9563702690054,642.958634332065,630.1027408896138,570.9552139642012,518.422632841138,-1.0,-0.5,2.0,3.0,-0.06989236846637992,-0.09699995561262309,-0.024961176708531152,-0.04577910672113239,-0.05940815187716664
telecommute_frequency,low,451.99136522229793,456.8623919140554,459.0755922993121,446.4330342883579,432.314258454978,-1.0,-0.5,2.0,3.0,-0.010776813599883361,-0.03134673634099183,-0.006148713627755209,-0.01451141790259817,-0.015695920367807144
telecommute_frequency,middle,603.699493944316,620.5314892798684,617.5304258009701,590.0476108359233,556.2008167690728,-1.0,-0.5,2.0,3.0,-0.02788141369074082,-0.0458205845636499,-0.011306853198763844,-0.02622644635380152,-0.02780882445173902
