policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,asian,449.7884160831132,439.49578433439444,446.26697015576303,464.1073924126453,461.89263547567543,2.0,1.0,-0.25,-0.5,-0.011441637201720256,-0.00782911653887386,-0.1273396629839949,-0.05382183693377085,-0.05010806341458997
transit_frequency,black,480.8316496549724,463.9009345007561,476.040360895943,483.4266280824236,495.16348921585325,2.0,1.0,-0.25,-0.5,-0.01760565799523095,-0.009964586903685402,-0.02158741779425899,-0.05961271297829418,-0.02719259391786738
transit_frequency,other,633.1950419368906,616.7123880910459,617.8329830170945,638.9357697263694,647.6264084154465,2.0,1.0,-0.25,-0.5,-0.013015463446638509,-0.02426118005094413,-0.03626514681427917,-0.04558268944877275,-0.02978111994015864
transit_frequency,white,551.0814941231048,545.6557148489599,541.2833386069926,555.1677182998819,562.63234360589,2.0,1.0,-0.25,-0.5,-0.004922846558999938,-0.01777986671772247,-0.029659672628123523,-0.04192065821831026,-0.023570761030789047
transit_price,asian,449.7884160831132,457.7449342149329,454.0720482211166,455.86263106197373,453.8442576195557,0.5,-0.25,-0.5,-1.0,0.03537893750624965,-0.03809464170114918,-0.0270092103827686,-0.009017220967498352,-0.00968553388629162
transit_price,black,480.8316496549724,490.02648138426423,467.8461094389791,480.3098207009321,486.9106112609182,0.5,-0.25,-0.5,-1.0,0.038245534527062475,0.108025669485869,0.0021705266465497086,-0.012642598735561172,0.03394978298098
transit_price,other,633.1950419368906,629.8299712330329,627.9000042041256,628.5034400441314,635.3626377900882,0.5,-0.25,-0.5,-1.0,-0.010628859927785284,0.03344964746766088,0.01481882068567053,-0.003423267255168616,0.008554085242594378
transit_price,white,551.0814941231048,554.5400922375269,549.1477143708606,550.9065361346497,554.1805007180133,0.5,-0.25,-0.5,-1.0,0.012552038677783983,0.014036252517034775,0.0006349623071029153,-0.005623499660135867,0.005399938460446452
transit_speed,asian,449.7884160831132,384.6789645640345,277.17211919714543,,,-0.1,-0.25,,,1.4475573223087979,1.5350888614621079,,,1.491323091885453
transit_speed,black,480.8316496549724,425.03699228683416,328.9988899887481,,,-0.1,-0.25,,,1.1603782198649881,1.2630845725332271,,,1.2117313961991076
transit_speed,other,633.1950419368906,573.5649334675957,483.0559926281439,,,-0.1,-0.25,,,0.9417336605620186,0.9484537266715414,,,0.94509369361678
transit_speed,white,551.0814941231048,481.23850310067667,361.71896578620056,,,-0.1,-0.25,,,1.2673804467624905,1.3744793128154145,,,1.3209298797889524
tnc_price,asian,449.7884160831132,487.5065377672176,472.94626926913253,417.33012617204065,380.7749525667101,0.5,0.25,-0.25,-0.5,0.16771495367784084,0.2059444161562416,0.28865385368283736,0.3068707910149939,0.24229600363297843
tnc_price,black,480.8316496549724,514.4821818379913,496.9757297565366,444.7259837780165,416.4745745367931,0.5,0.25,-0.25,-0.5,0.13996804165102406,0.13430130993372558,0.3003601439536192,0.2676906778676471,0.210580043351504
tnc_price,other,633.1950419368906,657.7332174303725,645.1429799533662,599.2609457059347,579.8738412049427,0.5,0.25,-0.25,-0.5,0.07750589903048422,0.07547714195567856,0.21436741593651343,0.16841951436904123,0.13394249282292936
tnc_price,white,551.0814941231048,585.3797079090339,565.8374761558065,512.0209053524496,476.96335958981194,0.5,0.25,-0.25,-0.5,0.12447601362664251,0.10710562550231728,0.283519509816307,0.2689915568703012,0.196023176453892
share_tnc_price,asian,449.7884160831132,466.6192119402387,440.9735631703048,452.96366329901133,445.6067502392844,0.5,0.25,-0.25,-0.5,0.074838725299744,-0.07839110655245962,-0.028237696680132984,0.01859392413990535,-0.0032990384482358137
share_tnc_price,black,480.8316496549724,499.47555869260793,478.2106053572282,477.38166193712283,465.9935144592899,0.5,0.25,-0.25,-0.5,0.0775485933632436,-0.02180425768249661,0.028700171632422222,0.0617186294052392,0.036540784179602104
share_tnc_price,other,633.1950419368906,642.0333083252934,628.8571555792216,627.1260233040374,626.6946765778519,0.5,0.25,-0.25,-0.5,0.027916410594016394,-0.02740316060845771,0.03833901550642915,0.020531952806056797,0.014846054574511158
share_tnc_price,white,551.0814941231048,567.801170112924,548.1589157844599,546.1877098520467,535.7183551813179,0.5,0.25,-0.25,-0.5,0.06067950445849757,-0.021213402154216077,0.03552131090045174,0.05575632317769319,0.032685934095606606
