policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1.3193702034535812,1.319203197308472,1.3195382792400252,1.319775894733893,1.3197297957704834,2.0,1.0,-0.25,-0.5,-6.329010033429006e-05,0.00012739092182312284,-0.001229954350188578,-0.0005450969196680866,-0.00042773761209195793
transit_price,none,1.3193702034535812,1.3188354264241386,1.3195737637894083,1.3192905204029624,1.3199035927299634,0.5,-0.25,-0.5,-1.0,-0.000810655005005767,-0.0006171439533622092,0.00012078952580596436,-0.00040427567257927954,-0.00042782127628532285
transit_speed,none,1.3193702034535812,1.319868127402876,1.3204171438056804,,,-0.1,-0.25,,,-0.0037739517535828604,-0.003174060925004163,,,-0.0034740063392935117
tnc_price,none,1.3193702034535812,1.3180131288510037,1.3180245413312675,1.3209869588456924,1.3255741425816057,0.5,0.25,-0.25,-0.5,-0.0020571551472441385,-0.004079710512762347,-0.004901597407244829,-0.009404394781366232,-0.0051107144621543865
share_tnc_price,none,1.3193702034535812,1.3187981041873398,1.3180103284629794,1.3206877028008617,1.3231590189414486,0.5,0.25,-0.25,-0.5,-0.0008672308420243358,-0.004122800369577018,-0.003994328032668193,-0.005743369795603748,-0.0036819322599683235
operating_cost,none,1.3193702034535812,1.3176941388236458,1.3181921085056136,1.3191916213812112,1.319937825782958,1.0,0.5,-0.25,-0.5,-0.001270352040350864,-0.001785844404980308,0.0005414161147574426,-0.000860444366396873,-0.0008438061742426506
cordon_pricing,none,1.3193702034535812,1.3201497462087104,1.3190038187711115,1.3193269452437988,1.318189226020558,0.25,0.1,-0.25,-0.5,0.0023633783848948653,-0.0027769664762078428,0.0001311480573660262,0.0017902138913428178,0.00037694346434896664
park_ride,none,1.3193702034535812,1.3192500484700185,1.319248256232676,1.319699797585733,1.319053724325333,0.5,0.25,-0.25,-0.5,-0.00018213990773507938,-0.0003697134301989813,-0.0009992468566863977,0.0004797427248541819,-0.0002678393674415691
telecommute_option,none,1.3193702034535812,1.3283022041491848,1.3231567633827057,1.3155016538328708,1.3112500168542462,0.5,0.25,-0.25,-0.5,0.013539794475005085,0.011479901302038797,0.011728473511328996,0.012309185970820868,0.012264338814798437
telecommute_frequency,none,1.3193702034535812,1.3143422006184604,1.3173477442475714,1.3235557576664547,1.3280272300655145,-1.0,-0.5,2.0,3.0,0.003810911313564258,0.00306579487806502,0.0015861940045021061,0.0021871613666562726,0.0026625153906969143
av_rates,none,1.3193702034535812,1.3195043171556924,1.320112444997275,1.3207051996125938,1.3215238555059332,0.05,0.1,0.25,0.5,0.0020329957696496592,0.0056257261362335775,0.00404737398349031,0.003264666803471261,0.003742690673211202
av_vot,none,1.3207051996125938,1.3195313679233962,1.3192162347161915,,1.3213952263619013,-0.1,-0.2,,-0.6,0.008887916012914054,0.0056370070203365374,,-0.0008707806878601362,0.004551380781796818
tod,none,1.3191504330172474,1.3188721773623882,1.3189495244943295,1.3191003943603519,,0.1,0.25,0.5,,-0.002109354990111889,-0.0006092057975783938,-7.58649743701767e-05,,-0.0009314752540201532
