policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,4011643327.7443013,3945944368.3947477,3945497523.6417556,4061523538.209109,4103318157.8143973,2.0,1.0,-0.25,-0.5,-0.008188534471046227,-0.0164884559016214,-0.04973543896072563,-0.04570437727406018,-0.03002920165186336
transit_price,none,4011643327.7443013,4041034916.886136,4000119492.7288,4016542807.399918,4036759096.6002903,0.5,-0.25,-0.5,-1.0,0.014653141737982711,0.011490388425913434,-0.0024426297431441313,-0.006260718315182601,0.004360045526392353
transit_speed,none,4011643327.7443013,3511459879.522593,2674411495.057583,,,-0.1,-0.25,,,1.2468293099799466,1.333350672965862,,,1.2900899914729043
tnc_price,none,4011643327.7443013,4264990682.741411,4135341776.5745344,3736608735.475872,3488944864.627163,0.5,0.25,-0.25,-0.5,0.12630602189630036,0.12333942848282842,0.2742363363824549,0.2605906958388773,0.19611812065011525
share_tnc_price,none,4011643327.7443013,4130202598.9776807,3977666161.117959,3988756374.985835,3925415996.017248,0.5,0.25,-0.25,-0.5,0.0591075833753365,-0.033878551855652805,0.02282052604246365,0.04298853346742448,0.022759522757392958
operating_cost,none,4011643327.7443013,5699351376.483312,4915743424.451308,3437176666.7785387,2913954472.4532022,1.0,0.5,-0.25,-0.5,0.4207024181504162,0.450738025713453,0.5727993383587053,0.5472514705878981,0.49787281320261817
cordon_pricing,none,4011643327.7443013,4031513398.5422406,4001058414.7447147,4022129394.963825,4019593180.486128,0.25,0.1,-0.25,-0.5,0.019812400230617477,-0.026385478804613616,-0.010455632630152145,-0.003963389609861867,-0.005248025203502538
park_ride,none,4011643327.7443013,4039812570.876947,4006036756.396165,4008109325.0116158,4059479434.9205003,0.5,0.25,-0.25,-0.5,0.014043742591884456,-0.0055902989274860815,0.0035237457011638718,-0.023848634221974585,-0.0029678612141030847
telecommute_option,none,4011643327.7443013,3718443304.9307923,3846650444.5393777,4216913609.7961636,4390802160.291939,0.5,0.25,-0.25,-0.5,-0.14617452194005076,-0.16451401056902748,-0.20467450895469597,-0.18902918408792546,-0.17609805638792492
telecommute_frequency,none,4011643327.7443013,4144655285.384716,4121691431.046689,3905660916.62357,3683299595.0221515,-1.0,-0.5,2.0,3.0,-0.03315647647947939,-0.05486435074688778,-0.013209351188796237,-0.02728256277183161,-0.032128185296748754
av_rates,none,4011643327.7443013,4082491444.5810094,3976975791.9549665,3944526431.7288613,3886334973.7780538,0.05,0.1,0.25,0.5,0.35321244212677794,-0.08641729325629677,-0.0669220970381521,-0.062472330528301034,0.03435018032600701
av_vot,none,3944526431.7288613,3939816097.91139,3975622548.055107,,3816371840.5385184,-0.1,-0.2,,-0.6,0.011941443159266818,-0.03941679294644285,,0.054148701755212435,0.008891117322678803
tod,none,4207174359.3604302,4135778335.5950317,4165862520.3584504,4134908056.523765,,0.1,0.25,0.5,,-0.16970065337689522,-0.039277515475502955,-0.03435384258600149,,-0.08111067047946656
