policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,119115246.67008652,116952457.3621973,117977355.14925319,120485459.89771055,122302646.82334001,2.0,1.0,-0.25,-0.5,-0.009078557818376964,-0.009552862061268708,-0.04601302573528976,-0.053517920540963715,-0.029540591538974786
transit_price,none,119115246.67008652,119463952.19583538,119235769.38760914,118804765.42322847,119691418.76827091,0.5,-0.25,-0.5,-1.0,0.005854926812428385,-0.0040472641711915,0.0052131235175625346,-0.004837097804785806,0.0005459220885034033
transit_speed,none,119115246.67008652,121221397.82989119,123638496.46938579,,,-0.1,-0.25,,,-0.1768162530560069,-0.15189490600904598,,,-0.16435557953252644
tnc_price,none,119115246.67008652,118476453.45291509,118896591.3345601,118865432.40883051,120664398.34058216,0.5,0.25,-0.25,-0.5,-0.010725633116316358,-0.007342648120673534,0.008388993625573882,-0.026010971958716933,-0.008922564892533236
share_tnc_price,none,119115246.67008652,120837683.1139675,118260810.5519928,119279234.79655914,118201171.6479636,0.5,0.25,-0.25,-0.5,0.02892050332820295,-0.028692754016964805,-0.00550687274910544,0.015347741748873434,0.0025171545777515347
operating_cost,none,119115246.67008652,99194095.83478874,108341456.99833138,124699674.38065194,132928093.93275169,1.0,0.5,-0.25,-0.5,-0.16724266113869857,-0.18089690401423253,-0.18753024039089183,-0.23192408442762336,-0.19189847249286157
cordon_pricing,none,119115246.67008652,119862693.33678427,119431452.54462378,119449435.56519018,118811803.26599328,0.25,0.1,-0.25,-0.5,0.025099949421855783,0.026546213299885046,-0.011222371759989969,0.005094954887407299,0.01137968646228954
park_ride,none,119115246.67008652,119652757.02231333,118971027.53071043,118768171.69949986,119507943.72389996,0.5,0.25,-0.25,-0.5,0.009025047040628564,-0.004843011903439276,0.011655098076502224,-0.006593564884285641,0.002310892082351468
telecommute_option,none,119115246.67008652,116446102.79686993,117840090.11907303,121043220.48727928,122785593.17942807,0.5,0.25,-0.25,-0.5,-0.0448161582640938,-0.04282093473878401,-0.0647431414899442,-0.06162681288831662,-0.05350176184528466
telecommute_frequency,none,119115246.67008652,121042915.20108347,120038944.47926551,118249813.87470773,115844029.88662398,-1.0,-0.5,2.0,3.0,-0.016183222424380306,-0.015509312787427731,-0.0036327540746138864,-0.00915420674489816,-0.011119874007830021
av_rates,none,119115246.67008652,119211457.28403434,117191025.1878351,115284881.73051201,112719396.56844282,0.05,0.1,0.25,0.5,0.01615420639043741,-0.1615428365422389,-0.12862719245953347,-0.10738927686324296,-0.09535127486864448
av_vot,none,115284881.73051201,118481204.48800553,117706530.7910328,,112403418.52824192,-0.1,-0.2,,-0.6,-0.27725428603597724,-0.10502890856849745,,0.04165714184168797,-0.11354201758759558
tod,none,128901276.97686718,127585568.66534214,128297501.72154647,127715818.6823874,,0.1,0.25,0.5,,-0.10207100677219527,-0.01873605194552308,-0.018393274640600143,,-0.0464001111194395
