policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,none,1951653,2620312,2329224,1710813.0,1529605.0,2.0,1.0,-0.25,-0.5,0.17130581102275866,0.19346215746344253,0.4936123378489925,0.43250311402693,0.32272085509053094
transit_price,none,1951653,1932925,1969639,1979389.0,2003729.0,0.5,-0.25,-0.5,-1.0,-0.0191919362714581,-0.03686311039923584,-0.028423085456277253,-0.026683022033117565,-0.02779028854002219
transit_speed,none,1951653,1983553,2010279,,,-0.1,-0.25,,,-0.16345118727560726,-0.12015660570808429,,,-0.14180389649184577
tnc_price,none,1951653,1958388,1952790,1953899.0,1987033.0,0.5,0.25,-0.25,-0.5,0.006901841669600284,0.00233033228755275,-0.004603277324401134,-0.036256445177498264,-0.007906887136186591
share_tnc_price,none,1951653,1953930,1946556,1967599.0,2001206.0,0.5,0.25,-0.25,-0.5,0.002333406604555055,-0.010446529172962737,-0.03268203927644908,-0.05078054346751193,-0.022893926328092173
operating_cost,none,1951653,2534624,2258692,1792287.0,1650148.0,1.0,0.5,-0.25,-0.5,0.298706276166921,0.3146450726640442,0.32662773556569746,0.3089739825675979,0.31223826674106514
cordon_pricing,none,1951653,1970366,1960224,1951138.0,1940078.0,0.25,0.1,-0.25,-0.5,0.03835312937289537,0.04391661837427119,0.0010555155040368192,0.011861739766239277,0.023796750754360663
park_ride,none,1951653,1950894,1954005,1950817.0,1944616.0,0.5,0.25,-0.25,-0.5,-0.0007778022015183517,0.00482052905921293,0.0017134193424754862,0.007211322914473017,0.0032418672786607705
telecommute_option,none,1951653,1915664,1927188,1991029.0,1990289.0,0.5,0.25,-0.25,-0.5,-0.03688053152891424,-0.05014211030341986,-0.08070287084845518,-0.03959310389705539,-0.05182965414446117
telecommute_frequency,none,1951653,1970515,1956270,1932573.0,1901460.0,-1.0,-0.5,2.0,3.0,-0.009664627882108201,-0.004731373866153632,-0.00488816403325798,-0.008572732960213733,-0.006964224685433387
av_rates,none,1951653,1981357,1998567,2086847.0,2218398.0,0.05,0.1,0.25,0.5,0.3043983740962153,0.2403808463902135,0.27708614185001146,0.27335289623718984,0.2738045646434075
av_vot,none,2086847,1978022,2005193,,2229760.0,-0.1,-0.2,,-0.6,0.5214804918616456,0.19563964200537964,,-0.11413789958407732,0.200994078094316
tod,none,2089347,2075174,2078317,2082043.0,,0.1,0.25,0.5,,-0.06783459138190118,-0.021116645535662393,-0.006991658159223979,,-0.03198096502559585
