policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,Alameda,15.46119861383765,15.185224392609012,15.246605386427326,15.795070533054853,15.813682244623852,2.0,1.0,-0.25,-0.5,-0.008924735659939176,-0.013879469035360859,-0.08637672344972991,-0.045595899721607935,-0.03869420696665947
transit_frequency,Contra Costa,19.35221398192023,19.081126652785475,19.60812822827294,19.74824714808999,20.3689642350606,2.0,1.0,-0.25,-0.5,-0.007004039160274311,0.013224029384534264,-0.08185795517551764,-0.10507844261026333,-0.045179101890380255
transit_frequency,Marin,18.945774184672107,17.935681068717486,18.409492414653744,19.009923022919725,18.903792358136855,2.0,1.0,-0.25,-0.5,-0.026657477971310017,-0.028306141770244264,-0.013543672086942848,0.004431787914923824,-0.016018875978393327
transit_frequency,Napa,19.69545710031421,20.126762431690455,20.89876766831826,19.689579023063807,20.60434365211113,2.0,1.0,-0.25,-0.5,0.010949360788619744,0.061095843669698446,0.0011937935170460712,-0.09229402975190837,-0.004763757944136027
transit_frequency,San Francisco,8.310255619769471,7.977212448100941,8.120743587776518,8.55152881281894,8.661889671303978,2.0,1.0,-0.25,-0.5,-0.02003808227488485,-0.022804597194593823,-0.11613274204249446,-0.08462653078877524,-0.060900488075187095
transit_frequency,San Mateo,16.647155066023885,16.28505123716739,16.414626228391665,16.77821096946341,16.862035454276523,2.0,1.0,-0.25,-0.5,-0.010875847176900877,-0.013968082636942603,-0.03149028237431484,-0.025815869126034396,-0.02053752032854818
transit_frequency,Santa Clara,14.893221035981487,14.508125540313808,14.61559943841216,14.889177193340425,15.1155186846063,2.0,1.0,-0.25,-0.5,-0.012928549664887878,-0.01864080287928338,0.0010860894715234437,-0.029852192227289187,-0.01508386382498425
transit_frequency,Solano,20.054820736638355,20.115621384835546,20.033458922178262,20.13443754638008,20.379213169617447,2.0,1.0,-0.25,-0.5,0.0015158611736207916,-0.0010651710499245404,-0.01587983473644794,-0.032350569196208934,-0.011944928452240156
transit_frequency,Sonoma,17.677699093741644,17.757476475727046,17.16849358575878,17.792434453155106,18.4031125260249,2.0,1.0,-0.25,-0.5,0.0022564413378222126,-0.028804965243646174,-0.02596160480049825,-0.08207102388568988,-0.03364528814800302
transit_price,Alameda,15.46119861383765,15.54851504691624,15.521548058029754,15.457477850579568,15.61407336071863,0.5,-0.25,-0.5,-1.0,0.011294911249693396,-0.015613134712102017,0.0004813033388952892,-0.00988763877233656,-0.003431139723962473
transit_price,Contra Costa,19.35221398192023,19.415753972245014,19.634260789583447,19.365692306310308,19.802587160651097,0.5,-0.25,-0.5,-1.0,0.0065666895151270666,-0.05829757937292701,-0.001392949086101325,-0.023272436898001736,-0.01909906896047575
transit_price,Marin,18.945774184672107,18.76328805710167,18.785556165207726,18.785299795477798,18.899742286408916,0.5,-0.25,-0.5,-1.0,-0.01926404545854643,0.03382665029207477,0.016940388672439743,0.00242966572991421,0.008483164808970572
transit_price,Napa,19.69545710031421,18.808510755984493,19.24858357821745,18.94422433037674,20.743815350412078,0.5,-0.25,-0.5,-1.0,-0.09006608374837555,0.09075666938232851,0.07628487788947891,-0.053228429518456855,0.005936758501243755
transit_price,San Francisco,8.310255619769471,8.321217285524515,8.322398064343442,8.334839282707351,8.258107509833875,0.5,-0.25,-0.5,-1.0,0.002638105554531034,-0.005844558882200701,-0.005916463719695564,0.006275151129110812,-0.0007119414795636048
transit_price,San Mateo,16.647155066023885,16.60204579118283,16.482222799175457,16.569217827760237,16.733323986671984,0.5,-0.25,-0.5,-1.0,-0.00541945751837436,0.03963013889022937,0.009363430322423483,-0.005176194989855443,0.009599479176105763
transit_price,Santa Clara,14.893221035981487,14.871801577540275,14.824850560404437,14.734195725462273,14.757938532949769,0.5,-0.25,-0.5,-1.0,-0.0028764037530180087,0.01836284452150938,0.02135539520094598,0.00908349528318153,0.011481332813154721
transit_price,Solano,20.054820736638355,20.578722069395702,19.66448740780654,20.54165591436002,19.942261363820712,0.5,-0.25,-0.5,-1.0,0.05224692253670726,0.07785326709377394,-0.048550439230031106,0.005612584340482618,0.021790583685233178
transit_price,Sonoma,17.677699093741644,18.029004527533544,18.139115496789927,17.639125872208723,17.60070743612624,0.5,-0.25,-0.5,-1.0,0.03974560624988488,-0.10440643900577218,0.0043640545444714185,0.004355298571784294,-0.013985369909907897
transit_speed,Alameda,15.46119861383765,15.901939594718186,16.03325000950244,,,-0.1,-0.25,,,-0.28506262152668826,-0.14799664888925435,,,-0.2165296352079713
transit_speed,Contra Costa,19.35221398192023,19.91226226241417,20.633345397224794,,,-0.1,-0.25,,,-0.28939752372372674,-0.2648030693545369,,,-0.2771002965391318
transit_speed,Marin,18.945774184672107,19.31457699254324,19.38333222724065,,,-0.1,-0.25,,,-0.19466230531213213,-0.09238113751456911,,,-0.14352172141335062
transit_speed,Napa,19.69545710031421,19.63801798544658,19.76095955233994,,,-0.1,-0.25,,,0.029163636352829148,-0.013303057998015788,,,0.00793028917740668
transit_speed,San Francisco,8.310255619769471,8.40651701290539,8.560483434952577,,,-0.1,-0.25,,,-0.11583445508814405,-0.12044289688891485,,,-0.11813867598852945
transit_speed,San Mateo,16.647155066023885,16.717956010402435,17.066035740904486,,,-0.1,-0.25,,,-0.04253035674729233,-0.10064919158121288,,,-0.0715897741642526
transit_speed,Santa Clara,14.893221035981487,14.96544062446389,15.28458699606757,,,-0.1,-0.25,,,-0.04849158439797829,-0.10511250968223962,,,-0.07680204704010896
transit_speed,Solano,20.054820736638355,20.628063254909843,21.184539247234504,,,-0.1,-0.25,,,-0.28583776728765553,-0.22532607504833102,,,-0.2555819211679933
transit_speed,Sonoma,17.677699093741644,18.031089357858985,18.333519239984927,,,-0.1,-0.25,,,-0.19990738740566671,-0.14839491107198644,,,-0.17415114923882657
tnc_price,Alameda,15.46119861383765,15.502022031632686,15.47266123874628,15.512550328554653,15.745619627931209,0.5,0.25,-0.25,-0.5,0.0052807571799120545,0.002965520382971931,-0.013285312736631916,-0.03679158662886639,-0.01045765545065358
tnc_price,Contra Costa,19.35221398192023,19.265604093845614,19.58743839199759,19.122372515026328,19.51351730644851,0.5,0.25,-0.25,-0.5,-0.008950902274595718,0.04861963810386083,0.047507012295054274,-0.016670270872260584,0.0176263693130147
tnc_price,Marin,18.945774184672107,18.877656578368356,18.66063194613426,18.517764720959917,18.970904453976043,0.5,0.25,-0.25,-0.5,-0.007190796811973099,-0.06020176019379342,0.09036515679754409,-0.002652862750181839,0.005079934260398933
tnc_price,Napa,19.69545710031421,19.98729942088816,19.035288066905064,19.77942841933779,20.88355602040358,0.5,0.25,-0.25,-0.5,0.02963549605246696,-0.1340753921164115,-0.017053946724036706,-0.1206470013910379,-0.06053521104475479
tnc_price,San Francisco,8.310255619769471,8.274861443482308,8.280708969869421,8.378757685005214,8.493029801370392,0.5,0.25,-0.25,-0.5,-0.008518191956204735,-0.014221776682662224,-0.03297230235507165,-0.04398761962655273,-0.024924972655122835
tnc_price,San Mateo,16.647155066023885,16.471934377478195,16.595265112939448,16.539690135193215,16.74880015941638,0.5,0.25,-0.25,-0.5,-0.02105112709658208,-0.012468185195281034,0.02582181289342378,-0.012211707404582217,-0.004977301700755388
tnc_price,Santa Clara,14.893221035981487,14.71527627067355,14.796904713908381,14.898851988857999,15.05032064427594,0.5,0.25,-0.25,-0.5,-0.023896075251690352,-0.025868499994838867,-0.0015123532680831886,-0.02109679402661202,-0.018093430635306107
tnc_price,Solano,20.054820736638355,19.8617969854601,20.11181657243697,20.210812557653043,20.166269368465493,0.5,0.25,-0.25,-0.5,-0.01924961122445934,0.011368007033738081,-0.03111308209895025,-0.01111439820786142,-0.012527271124383232
tnc_price,Sonoma,17.677699093741644,17.567774350330684,17.47791474486551,17.622653726786858,17.99745248858482,0.5,0.25,-0.25,-0.5,-0.012436544238936253,-0.045205962114574394,0.012455323888678205,-0.03617590650769431,-0.02034077224313169
share_tnc_price,Alameda,15.46119861383765,15.657601179320189,15.709914823092724,15.497566199541433,15.374885450074629,0.5,0.25,-0.25,-0.5,0.025405865403832273,0.06434590628244674,-0.009408736440714272,0.01116513226675342,0.02287704187807954
share_tnc_price,Contra Costa,19.35221398192023,19.816732505583154,18.520395405060388,19.496889089226123,19.25460870431964,0.5,0.25,-0.25,-0.5,0.04800675768642293,-0.17193248847640197,-0.0299035774286196,0.01008724662633198,-0.035935515398066664
share_tnc_price,Marin,18.945774184672107,19.122007473048,18.526198247287684,18.595679205269217,18.67715837030383,0.5,0.25,-0.25,-0.5,0.018603968004482496,-0.08858459586705658,0.07391515933640358,0.02835627742101976,0.008072702223712314
share_tnc_price,Napa,19.69545710031421,20.926047748525903,19.451977363493224,19.76257857152416,19.228215005861745,0.5,0.25,-0.25,-0.5,0.12496187744655707,-0.0494489131338014,-0.01363186868282984,0.047446687027640655,0.02733194566439162
share_tnc_price,San Francisco,8.310255619769471,8.399095239020788,8.368330351058473,8.275968609285595,8.208200805260255,0.5,0.25,-0.25,-0.5,0.021380718792806785,0.02795328276104847,0.016503468510551844,0.02456117336906849,0.022599660858368897
share_tnc_price,San Mateo,16.647155066023885,16.732308393970232,16.61346769090014,16.47875851212445,16.442586425077412,0.5,0.25,-0.25,-0.5,0.010230376014234821,-0.008094446165759273,0.04046254227381452,0.02457700912079419,0.016793870310771064
share_tnc_price,Santa Clara,14.893221035981487,15.000484243816123,14.93807050344817,14.832580418032284,14.678111825575298,0.5,0.25,-0.25,-0.5,0.014404299456174385,0.012045605811752402,0.01628677041794946,0.028886862000703895,0.017905884421645035
share_tnc_price,Solano,20.054820736638355,20.111747113626123,20.202554534934496,20.365503114744154,20.12522884588805,0.5,0.25,-0.25,-0.5,0.005677076622656596,0.029465992289074983,-0.061966622825645246,-0.007021564557898596,-0.008461279617953066
share_tnc_price,Sonoma,17.677699093741644,18.25717159929964,17.007681841951364,18.00599178594586,17.853645279633717,0.5,0.25,-0.25,-0.5,0.06555972046872816,-0.15160734397328524,-0.07428403220653035,-0.01990600529617126,-0.04505941525181467
operating_cost,Alameda,15.46119861383765,12.897963453060736,14.135773157670762,16.26223919415844,17.31907193232129,1.0,0.5,-0.25,-0.5,-0.1657850225455897,-0.17145183750251336,-0.207238934141591,-0.24032720423381093,-0.19620074960587625
operating_cost,Contra Costa,19.35221398192023,15.347407707949477,17.37976579660615,20.185999804239927,21.712850301361208,1.0,0.5,-0.25,-0.5,-0.2069430545627614,-0.20384728973716748,-0.1723391076801155,-0.24396550406546735,-0.20677373901137794
operating_cost,Marin,18.945774184672107,15.489916359701821,16.88793968335397,19.509288571877946,20.92263575563689,1.0,0.5,-0.25,-0.5,-0.18240784416010902,-0.217234142163798,-0.1189741589260036,-0.20868628029612468,-0.18182560638650883
operating_cost,Napa,19.69545710031421,16.205913207220068,16.872589759319187,21.118803447566144,22.63689959948813,1.0,0.5,-0.25,-0.5,-0.17717506505794545,-0.2866516198753255,-0.28907099540822045,-0.29869248367198287,-0.2628975410033686
operating_cost,San Francisco,8.310255619769471,6.941301186336282,7.558395306299225,8.783255877029717,9.384730220031559,1.0,0.5,-0.25,-0.5,-0.16473072503047315,-0.1809475779978722,-0.2276706175607952,-0.25859002404354303,-0.2079847361581709
operating_cost,San Mateo,16.647155066023885,13.91993390680866,15.191656474252241,17.441293975598253,18.567904373071002,1.0,0.5,-0.25,-0.5,-0.16382505890038612,-0.17486454424182685,-0.1908167266838694,-0.23076006674164784,-0.19006659914193255
operating_cost,Santa Clara,14.893221035981487,12.762720301497769,13.687598334651318,15.474909350068513,16.351484045357406,1.0,0.5,-0.25,-0.5,-0.143051709857559,-0.16190221019582363,-0.15622901524974075,-0.19582909645305158,-0.16425300793904374
operating_cost,Solano,20.054820736638355,17.28237799322348,18.292253108614165,21.312298381652365,23.037198502557345,1.0,0.5,-0.25,-0.5,-0.13824320744736807,-0.17577495717068525,-0.2508080548866163,-0.2974225304812079,-0.21556218749646938
operating_cost,Sonoma,17.677699093741644,14.629805738043977,16.21414646877922,18.45311133012123,19.476700723058652,1.0,0.5,-0.25,-0.5,-0.17241459646615998,-0.16558180079901463,-0.17545546674772883,-0.20353345984420557,-0.17924633096427725
cordon_pricing,Alameda,15.46119861383765,15.566655509233467,15.459350596268592,15.63875500083554,15.573023863520662,0.25,0.1,-0.25,-0.5,0.027282980583778205,-0.0011952615157562185,-0.04593599537334114,-0.01446527562008404,-0.008578387981350799
cordon_pricing,Contra Costa,19.35221398192023,19.50522579350703,19.501298319796657,19.53366736981109,19.122559941383376,0.25,0.1,-0.25,-0.5,0.03162672999166993,0.07703735501049636,-0.03750545298029184,0.023734136130512784,0.023723192038096808
cordon_pricing,Marin,18.945774184672107,18.463817525825025,18.589760331839976,18.58075221299153,18.70806642775939,0.25,0.1,-0.25,-0.5,-0.10175496744535328,-0.18791201107007827,0.07706667843130832,0.025093485713033603,-0.046876703592772406
cordon_pricing,Napa,19.69545710031421,20.00020718822454,19.18262625587609,19.74363957475443,19.52737852799443,0.25,0.1,-0.25,-0.5,0.06189246309098717,-0.2603802703466773,-0.009785500117069468,0.017067750340975962,-0.047801389257945914
cordon_pricing,San Francisco,8.310255619769471,8.313788725929605,8.390516378711416,8.344485076133166,8.366539852354498,0.25,0.1,-0.25,-0.5,0.0017006004733373103,0.09658037323305724,-0.01647576581508048,-0.013545728353079767,0.017064869884558576
