policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,hispanic,13.236049644919895,12.950985518341461,13.055898275277224,13.362102298969717,13.617086840512073,2.0,1.0,-0.25,-0.5,-0.010768474515651383,-0.013610659862689056,-0.03809373867019339,-0.057575667334917036,-0.030012135095862716
transit_frequency,non_hispanic,16.605048349266575,16.317360526195124,16.46303849142365,16.80420788386431,17.04219637598351,2.0,1.0,-0.25,-0.5,-0.008662661409358619,-0.008552209837389468,-0.047975659066727516,-0.05265242443407203,-0.02946073868688691
transit_price,hispanic,13.236049644919895,13.266466216434516,13.229173290540215,13.15903300544208,13.271159238168671,0.5,-0.25,-0.5,-1.0,0.004596019557284503,0.002078068476365491,0.011637405652580757,-0.0026525734029905212,0.003914730070810057
transit_price,non_hispanic,16.605048349266575,16.6567128520761,16.627662311677142,16.5749569163022,16.694793200788084,0.5,-0.25,-0.5,-1.0,0.006222746447083871,-0.005447490891905105,0.003624371616563815,-0.005404672701568636,-0.0002512613824565135
transit_speed,hispanic,13.236049644919895,13.402255628768287,13.752903684397884,,,-0.1,-0.25,,,-0.12557068635065338,-0.15619586004691755,,,-0.14088327319878546
transit_speed,non_hispanic,16.605048349266575,16.918973157543064,17.232814992234648,,,-0.1,-0.25,,,-0.1890538357212046,-0.15122308102061055,,,-0.17013845837090757
tnc_price,hispanic,13.236049644919895,13.153583330798172,13.158645814497932,13.126869384524326,13.396892970363805,0.5,0.25,-0.25,-0.5,-0.012460865036627355,-0.023391822333235446,0.032994817434059076,-0.024303826256143246,-0.006790424047986743
tnc_price,non_hispanic,16.605048349266575,16.52089387969398,16.589528810937686,16.59311553286741,16.825613728730687,0.5,0.25,-0.25,-0.5,-0.010136010182266286,-0.003738510843799947,0.002874503259050254,-0.02656606290144925,-0.009391520167116307
share_tnc_price,hispanic,13.236049644919895,13.436761710362706,13.176508707940393,13.251820096138596,13.148825551885169,0.5,0.25,-0.25,-0.5,0.030328091965089676,-0.017993567137262634,-0.004765908754279735,0.01317977725600361,0.0051870983323877295
share_tnc_price,non_hispanic,16.605048349266575,16.84296338187394,16.476998675366158,16.628468258795913,16.47333886899535,0.5,0.25,-0.25,-0.5,0.028655747047899638,-0.030845962313882147,-0.005641635974007464,0.01586378762661589,0.002007984096656479
operating_cost,hispanic,13.236049644919895,10.93603796887118,11.926914548405456,13.906897920926314,14.898407574095355,1.0,0.5,-0.25,-0.5,-0.1737687405041941,-0.19781356698324193,-0.20273368384165735,-0.2511864149457139,-0.20637560156870183
operating_cost,non_hispanic,16.605048349266575,13.85293487985571,15.135362505431234,17.368935309441483,18.495497387116913,1.0,0.5,-0.25,-0.5,-0.16573956374733612,-0.17701674971639036,-0.18401318541385603,-0.2276956980897724,-0.18861629924183873
cordon_pricing,hispanic,13.236049644919895,13.319230451386392,13.22250280388566,13.242894298030587,13.165787008030337,0.25,0.1,-0.25,-0.5,0.025137653211635858,-0.010234806757040138,-0.002068488195288154,0.010616859074191298,0.005862804333374716
cordon_pricing,non_hispanic,16.605048349266575,16.710424289434044,16.663834530223323,16.660742541091228,16.572944737049276,0.25,0.1,-0.25,-0.5,0.02538407307248214,0.03540259547593738,-0.013416207084302023,0.0038667291467076037,0.012809297652706275
park_ride,hispanic,13.236049644919895,13.260989344598677,13.22586257556318,13.15540730463414,13.229626796329722,0.5,0.25,-0.25,-0.5,0.0037684506099378012,-0.0030785830002155734,0.024370516112926843,0.0009705083861841768,0.006507723027208312
park_ride,non_hispanic,16.605048349266575,16.690873610241482,16.583917451193862,16.568142313195633,16.67540151088454,0.5,0.25,-0.25,-0.5,0.010337249150942363,-0.005090234639068658,0.00889031703965415,-0.008473707530165075,0.0014159060053406947
telecommute_option,hispanic,13.236049644919895,12.944176209785892,13.095384060069277,13.421121653884615,13.546906659337761,0.5,0.25,-0.25,-0.5,-0.04410280151012058,-0.04250983900006933,-0.05592968111471297,-0.04697126752424596,-0.04737839728728721
telecommute_option,non_hispanic,16.605048349266575,16.23161452444518,16.42685754467971,16.881977020597144,17.145004497618125,0.5,0.25,-0.25,-0.5,-0.04497834838739112,-0.04292448918879188,-0.06670951279531856,-0.0650351793014079,-0.054911882418227365
telecommute_frequency,hispanic,13.236049644919895,13.354273566730644,13.276819555568744,13.156818235914832,12.91332881381514,-1.0,-0.5,2.0,3.0,-0.008931964217596011,-0.006160434834043826,-0.002993015708258273,-0.008127319952259274,-0.006553183678039346
