policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,asian,15.144181503554245,14.855459089951093,14.992837726964241,15.337903054005496,15.511205322731836,2.0,1.0,-0.25,-0.5,-0.009532453554369713,-0.009993526329203362,-0.05116725533322075,-0.048470604910731296,-0.02979096003188128
transit_frequency,black,13.959574380158546,13.678364502986582,13.823084212044922,14.213985006597749,14.3974006683927,2.0,1.0,-0.25,-0.5,-0.010072294094140233,-0.009777530775409993,-0.07289925022379151,-0.06272774173637563,-0.03886920420742934
transit_frequency,other,13.07765584628846,12.794448940847253,12.927655660052999,13.226275405337594,13.461016015622231,2.0,1.0,-0.25,-0.5,-0.010827892581436238,-0.011469959754143,-0.04545755318719902,-0.05862827005691118,-0.03159591889492236
transit_frequency,white,16.994122772868028,16.70620709295803,16.842564757327057,17.173566563982657,17.451421385541636,2.0,1.0,-0.25,-0.5,-0.008471036833088808,-0.00891826059906664,-0.04223667052732338,-0.05381844285645698,-0.028361102703983954
transit_price,asian,15.144181503554245,15.173796565130871,15.154902021925743,15.136672277767067,15.193945813237121,0.5,-0.25,-0.5,-1.0,0.003911081172617514,-0.0028315873971749284,0.000991697806238756,-0.003286034948220662,-0.00030371084163483
transit_price,black,13.959574380158546,14.059802132991218,13.917874433728874,13.958511540108326,14.097362447026674,0.5,-0.25,-0.5,-1.0,0.014359714716679406,0.011948773019596182,0.00015227399077888393,-0.009870506300247328,0.004147563856701786
transit_price,other,13.07765584628846,13.130350364055753,13.070944877007124,13.03423902105013,13.134040321442216,0.5,-0.25,-0.5,-1.0,0.008058709968613798,0.0020526520533081793,0.006639848264649251,-0.004311512385437144,0.003109924475283521
transit_price,white,16.994122772868028,17.041599955552197,17.02342743862063,16.936641300525977,17.082235559998423,0.5,-0.25,-0.5,-1.0,0.005587482604276328,-0.006897600104287527,0.006764864901861678,-0.0051848976442061545,6.746243941108121e-05
transit_speed,asian,15.144181503554245,15.414915930499694,15.609614990791263,,,-0.1,-0.25,,,-0.17877125078163525,-0.12293394321186213,,,-0.1508525969967487
transit_speed,black,13.959574380158546,14.185835605811592,14.548567502113471,,,-0.1,-0.25,,,-0.16208318354937967,-0.16877108310468003,,,-0.16542713332702985
transit_speed,other,13.07765584628846,13.278353923528098,13.5922877703595,,,-0.1,-0.25,,,-0.15346640070559525,-0.157408003428106,,,-0.15543720206685063
transit_speed,white,16.994122772868028,17.30345208071091,17.67649405614482,,,-0.1,-0.25,,,-0.1820213446596597,-0.16061347617571187,,,-0.17131741041768578
tnc_price,asian,15.144181503554245,15.094543740813988,15.150901384075542,15.164786237275335,15.363661843751107,0.5,0.25,-0.25,-0.5,-0.006555357610922297,0.0017749075497333067,-0.005442283880777055,-0.028985434458158377,-0.009802042100031105
tnc_price,black,13.959574380158546,13.952251191855897,13.959219040057766,14.018192397669411,14.182148598672919,0.5,0.25,-0.25,-0.5,-0.001049199367146647,-0.00010181975212253391,-0.016796505656843763,-0.031888396086162896,-0.01245898021556896
tnc_price,other,13.07765584628846,13.02069350533279,13.042166305143615,13.034320098408736,13.23021190366975,0.5,0.25,-0.25,-0.5,-0.008711399294367483,-0.010855016086056768,0.013254897785683006,-0.023330795545378535,-0.007410578285029945
tnc_price,white,16.994122772868028,16.88163661185,16.948234624290663,16.930903218461623,17.207478618523343,0.5,0.25,-0.25,-0.5,-0.013238242717372728,-0.010800945524679584,0.014880333689795133,-0.025109368516031516,-0.008567055767072174
